日期,全部,pc,移动
2019-12-01,65,,65
2019-12-02,,,
2019-12-03,58,,58
2019-12-04,57,,57
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,58,,58
2019-12-18,,,
2019-12-19,,,
2019-12-20,58,,58
2019-12-21,57,,57
2019-12-22,57,,57
2019-12-23,57,,57
2019-12-24,60,,60
2019-12-25,57,,57
2019-12-26,57,,57
2019-12-27,60,,60
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,58,,58
2020-01-05,66,,66
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,60,,60
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,58,,58
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,71,,71
2020-01-21,230,57,173
2020-01-22,536,70,466
2020-01-23,743,72,671
2020-01-24,420,74,346
2020-01-25,562,70,492
2020-01-26,580,74,506
2020-01-27,429,68,361
2020-01-28,382,82,300
2020-01-29,356,61,295
2020-01-30,328,76,252
2020-01-31,314,59,255
2020-02-01,317,72,245
2020-02-02,328,83,245
2020-02-03,296,78,218
2020-02-04,289,70,219
2020-02-05,273,74,199
2020-02-06,275,78,197
2020-02-07,270,70,200
2020-02-08,268,70,198
2020-02-09,249,72,177
2020-02-10,246,76,170
2020-02-11,250,61,189
2020-02-12,231,61,170
2020-02-13,255,70,185
2020-02-14,232,64,168
2020-02-15,217,59,158
2020-02-16,237,63,174
2020-02-17,217,66,151
2020-02-18,229,68,161
2020-02-19,236,63,173
2020-02-20,207,63,144
2020-02-21,239,61,178
2020-02-22,229,66,163
2020-02-23,244,64,180
2020-02-24,218,61,157
2020-02-25,243,70,173
2020-02-26,237,64,173
2020-02-27,220,68,152
2020-02-28,222,61,161
2020-02-29,215,66,149
2020-03-01,224,64,160
2020-03-02,225,63,162
2020-03-03,167,61,106
2020-03-04,131,,131
2020-03-05,211,64,147
2020-03-06,210,59,151
2020-03-07,195,61,134
2020-03-08,170,61,109
2020-03-09,185,59,126
2020-03-10,212,57,155
2020-03-11,180,59,121
2020-03-12,219,61,158
2020-03-13,169,57,112
2020-03-14,96,,96
2020-03-15,170,61,109
2020-03-16,150,59,91
2020-03-17,150,57,93
2020-03-18,110,,110
2020-03-19,157,57,100
2020-03-20,150,61,89
2020-03-21,148,57,91
2020-03-22,89,,89
2020-03-23,104,,104
2020-03-24,143,57,86
2020-03-25,157,57,100
2020-03-26,153,57,96
2020-03-27,148,57,91
2020-03-28,95,,95
2020-03-29,130,57,73
2020-03-30,146,59,87
2020-03-31,80,,80
2020-04-01,92,,92
