日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,67,,67
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,57,,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,60,,60
2020-01-18,58,,58
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,168,64,104
2020-01-22,331,82,249
2020-01-23,440,87,353
2020-01-24,303,78,225
2020-01-25,323,80,243
2020-01-26,343,74,269
2020-01-27,290,78,212
2020-01-28,298,83,215
2020-01-29,248,61,187
2020-01-30,251,74,177
2020-01-31,272,80,192
2020-02-01,292,80,212
2020-02-02,253,83,170
2020-02-03,241,76,165
2020-02-04,224,66,158
2020-02-05,224,89,135
2020-02-06,219,64,155
2020-02-07,208,61,147
2020-02-08,223,63,160
2020-02-09,230,76,154
2020-02-10,193,70,123
2020-02-11,180,63,117
2020-02-12,176,63,113
2020-02-13,195,63,132
2020-02-14,170,64,106
2020-02-15,178,61,117
2020-02-16,155,68,87
2020-02-17,172,64,108
2020-02-18,161,57,104
2020-02-19,170,68,102
2020-02-20,175,70,105
2020-02-21,191,66,125
2020-02-22,221,64,157
2020-02-23,207,64,143
2020-02-24,191,70,121
2020-02-25,172,57,115
2020-02-26,193,59,134
2020-02-27,176,61,115
2020-02-28,170,64,106
2020-02-29,155,59,96
2020-03-01,169,59,110
2020-03-02,181,63,118
2020-03-03,163,59,104
2020-03-04,182,63,119
2020-03-05,177,59,118
2020-03-06,166,66,100
2020-03-07,177,72,105
2020-03-08,171,61,110
2020-03-09,154,63,91
2020-03-10,182,64,118
2020-03-11,167,59,108
2020-03-12,159,59,100
2020-03-13,150,61,89
2020-03-14,96,,96
2020-03-15,140,61,79
2020-03-16,140,57,83
2020-03-17,140,61,79
2020-03-18,130,59,71
2020-03-19,70,,70
2020-03-20,133,57,76
2020-03-21,76,,76
2020-03-22,137,59,78
2020-03-23,122,59,63
2020-03-24,130,61,69
2020-03-25,128,57,71
2020-03-26,135,59,76
2020-03-27,115,57,58
2020-03-28,123,57,66
2020-03-29,136,57,79
2020-03-30,134,61,73
2020-03-31,127,64,63
2020-04-01,126,57,69
