日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,57,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,58,,58
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,60,,60
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,58,,58
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,58,,58
2020-01-10,,,
2020-01-11,60,,60
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,58,,58
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,126,57,69
2020-01-21,194,59,135
2020-01-22,381,89,292
2020-01-23,565,106,459
2020-01-24,410,72,338
2020-01-25,517,97,420
2020-01-26,419,106,313
2020-01-27,339,87,252
2020-01-28,313,85,228
2020-01-29,321,85,236
2020-01-30,297,91,206
2020-01-31,309,78,231
2020-02-01,289,74,215
2020-02-02,277,74,203
2020-02-03,331,82,249
2020-02-04,282,82,200
2020-02-05,259,78,181
2020-02-06,287,85,202
2020-02-07,286,82,204
2020-02-08,256,76,180
2020-02-09,273,91,182
2020-02-10,246,83,163
2020-02-11,232,78,154
2020-02-12,246,78,168
2020-02-13,232,70,162
2020-02-14,237,78,159
2020-02-15,207,64,143
2020-02-16,194,66,128
2020-02-17,200,82,118
2020-02-18,212,68,144
2020-02-19,218,70,148
2020-02-20,227,76,151
2020-02-21,239,68,171
2020-02-22,270,68,202
2020-02-23,261,82,179
2020-02-24,282,80,202
2020-02-25,258,82,176
2020-02-26,244,74,170
2020-02-27,235,64,171
2020-02-28,238,76,162
2020-02-29,247,63,184
2020-03-01,199,64,135
2020-03-02,239,78,161
2020-03-03,213,74,139
2020-03-04,217,66,151
2020-03-05,209,68,141
2020-03-06,182,59,123
2020-03-07,196,68,128
2020-03-08,190,68,122
2020-03-09,178,59,119
2020-03-10,184,66,118
2020-03-11,174,64,110
2020-03-12,198,66,132
2020-03-13,160,63,97
2020-03-14,161,64,97
2020-03-15,161,64,97
2020-03-16,176,66,110
2020-03-17,158,61,97
2020-03-18,154,59,95
2020-03-19,139,61,78
2020-03-20,139,57,82
2020-03-21,132,61,71
2020-03-22,95,,95
2020-03-23,163,63,100
2020-03-24,86,,86
2020-03-25,142,63,79
2020-03-26,138,59,79
2020-03-27,151,68,83
2020-03-28,141,59,82
2020-03-29,139,59,80
2020-03-30,154,61,93
2020-03-31,143,59,84
2020-04-01,83,,83
