日期,全部,pc,移动
2019-12-01,,,
2019-12-02,61,,61
2019-12-03,,,
2019-12-04,117,57,60
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,,,
2019-12-09,59,59,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,57,
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,60,,60
2019-12-27,,,
2019-12-28,60,,60
2019-12-29,,,
2019-12-30,63,,63
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,58,,58
2020-01-10,60,,60
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,57,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,127,57,70
2020-01-21,206,70,136
2020-01-22,358,78,280
2020-01-23,500,99,401
2020-01-24,327,68,259
2020-01-25,459,93,366
2020-01-26,417,87,330
2020-01-27,347,78,269
2020-01-28,302,78,224
2020-01-29,266,74,192
2020-01-30,279,74,205
2020-01-31,303,74,229
2020-02-01,261,72,189
2020-02-02,305,85,220
2020-02-03,252,68,184
2020-02-04,273,97,176
2020-02-05,261,78,183
2020-02-06,256,63,193
2020-02-07,245,85,160
2020-02-08,270,80,190
2020-02-09,250,72,178
2020-02-10,243,80,163
2020-02-11,235,80,155
2020-02-12,254,74,180
2020-02-13,238,74,164
2020-02-14,224,66,158
2020-02-15,236,74,162
2020-02-16,216,59,157
2020-02-17,224,70,154
2020-02-18,206,61,145
2020-02-19,191,61,130
2020-02-20,205,66,139
2020-02-21,246,59,187
2020-02-22,247,64,183
2020-02-23,229,66,163
2020-02-24,224,64,160
2020-02-25,223,68,155
2020-02-26,243,61,182
2020-02-27,235,72,163
2020-02-28,222,64,158
2020-02-29,219,59,160
2020-03-01,200,66,134
2020-03-02,204,68,136
2020-03-03,200,68,132
2020-03-04,194,63,131
2020-03-05,197,72,125
2020-03-06,173,64,109
2020-03-07,197,66,131
2020-03-08,196,66,130
2020-03-09,198,72,126
2020-03-10,189,74,115
2020-03-11,177,64,113
2020-03-12,168,64,104
2020-03-13,179,64,115
2020-03-14,160,68,92
2020-03-15,137,57,80
2020-03-16,154,59,95
2020-03-17,148,57,91
2020-03-18,145,59,86
2020-03-19,151,64,87
2020-03-20,82,,82
2020-03-21,152,57,95
2020-03-22,67,,67
2020-03-23,149,66,83
2020-03-24,142,63,79
2020-03-25,137,59,78
2020-03-26,137,61,76
2020-03-27,127,57,70
2020-03-28,143,61,82
2020-03-29,143,61,82
2020-03-30,127,57,70
2020-03-31,141,59,82
2020-04-01,139,59,80
