日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,57,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,58,,58
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,57,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,156,64,92
2020-01-22,309,74,235
2020-01-23,334,82,252
2020-01-24,237,66,171
2020-01-25,277,68,209
2020-01-26,345,89,256
2020-01-27,249,72,177
2020-01-28,267,72,195
2020-01-29,229,82,147
2020-01-30,222,70,152
2020-01-31,230,72,158
2020-02-01,208,74,134
2020-02-02,217,72,145
2020-02-03,225,70,155
2020-02-04,208,72,136
2020-02-05,205,70,135
2020-02-06,205,82,123
2020-02-07,193,72,121
2020-02-08,213,82,131
2020-02-09,197,78,119
2020-02-10,184,72,112
2020-02-11,172,70,102
2020-02-12,188,76,112
2020-02-13,186,61,125
2020-02-14,174,59,115
2020-02-15,173,68,105
2020-02-16,163,59,104
2020-02-17,154,61,93
2020-02-18,151,59,92
2020-02-19,164,64,100
2020-02-20,146,63,83
2020-02-21,167,61,106
2020-02-22,184,76,108
2020-02-23,142,59,83
2020-02-24,148,61,87
2020-02-25,158,59,99
2020-02-26,156,61,95
2020-02-27,151,64,87
2020-02-28,150,63,87
2020-02-29,137,63,74
2020-03-01,89,,89
2020-03-02,166,61,105
2020-03-03,145,61,84
2020-03-04,149,63,86
2020-03-05,136,57,79
2020-03-06,135,57,78
2020-03-07,141,61,80
2020-03-08,139,63,76
2020-03-09,131,61,70
2020-03-10,148,64,84
2020-03-11,82,,82
2020-03-12,128,57,71
2020-03-13,135,59,76
2020-03-14,130,61,69
2020-03-15,128,59,69
2020-03-16,218,64,154
2020-03-17,140,57,83
2020-03-18,128,59,69
2020-03-19,70,,70
2020-03-20,126,57,69
2020-03-21,125,59,66
2020-03-22,69,,69
2020-03-23,70,,70
2020-03-24,122,57,65
2020-03-25,61,,61
2020-03-26,120,59,61
2020-03-27,67,,67
2020-03-28,69,,69
2020-03-29,67,,67
2020-03-30,120,59,61
2020-03-31,67,,67
2020-04-01,125,59,66
