日期,全部,pc,移动
2019-12-01,238,61,177
2019-12-02,293,108,185
2019-12-03,295,106,189
2019-12-04,304,112,192
2019-12-05,303,114,189
2019-12-06,293,114,179
2019-12-07,265,82,183
2019-12-08,265,72,193
2019-12-09,329,120,209
2019-12-10,288,104,184
2019-12-11,249,95,154
2019-12-12,261,93,168
2019-12-13,223,72,151
2019-12-14,237,76,161
2019-12-15,218,61,157
2019-12-16,275,112,163
2019-12-17,242,87,155
2019-12-18,241,82,159
2019-12-19,269,85,184
2019-12-20,248,78,170
2019-12-21,240,82,158
2019-12-22,232,66,166
2019-12-23,243,89,154
2019-12-24,256,89,167
2019-12-25,242,78,164
2019-12-26,232,72,160
2019-12-27,231,70,161
2019-12-28,236,57,179
2019-12-29,227,61,166
2019-12-30,257,78,179
2019-12-31,335,123,212
2020-01-01,255,68,187
2020-01-02,254,97,157
2020-01-03,246,91,155
2020-01-04,255,74,181
2020-01-05,244,70,174
2020-01-06,283,112,171
2020-01-07,263,89,174
2020-01-08,297,108,189
2020-01-09,258,95,163
2020-01-10,269,91,178
2020-01-11,233,63,170
2020-01-12,208,59,149
2020-01-13,208,80,128
2020-01-14,237,85,152
2020-01-15,208,91,117
2020-01-16,206,102,104
2020-01-17,257,102,155
2020-01-18,246,72,174
2020-01-19,534,233,301
2020-01-20,3079,1131,1948
2020-01-21,10404,2441,7963
2020-01-22,14067,2161,11906
2020-01-23,16482,2049,14433
2020-01-24,9107,1114,7993
2020-01-25,11003,1262,9741
2020-01-26,12706,1543,11163
2020-01-27,11685,1593,10092
2020-01-28,10822,1607,9215
2020-01-29,9933,1517,8416
2020-01-30,9211,1378,7833
2020-01-31,9941,1740,8201
2020-02-01,9605,1747,7858
2020-02-02,9781,1746,8035
2020-02-03,9924,2066,7858
2020-02-04,9424,1996,7428
2020-02-05,9863,2133,7730
2020-02-06,10233,2176,8057
2020-02-07,9932,2038,7894
2020-02-08,9557,1802,7755
2020-02-09,9050,1722,7328
2020-02-10,9442,2536,6906
2020-02-11,8053,2036,6017
2020-02-12,7579,1956,5623
2020-02-13,7449,1826,5623
2020-02-14,7144,1739,5405
2020-02-15,5906,1307,4599
2020-02-16,5303,1047,4256
2020-02-17,6522,1871,4651
2020-02-18,5962,1783,4179
2020-02-19,5812,1644,4168
2020-02-20,5545,1539,4006
2020-02-21,5376,1475,3901
2020-02-22,4599,1059,3540
2020-02-23,4444,948,3496
2020-02-24,5232,1576,3656
2020-02-25,5440,1637,3803
2020-02-26,5350,1687,3663
2020-02-27,5079,1553,3526
2020-02-28,5309,1677,3632
2020-02-29,4759,1255,3504
2020-03-01,4034,960,3074
2020-03-02,4861,1740,3121
2020-03-03,4255,1274,2981
2020-03-04,4157,1469,2688
2020-03-05,3933,1374,2559
2020-03-06,3747,1337,2410
2020-03-07,3260,948,2312
2020-03-08,2983,850,2133
2020-03-09,3741,1407,2334
2020-03-10,3789,1404,2385
2020-03-11,3446,1257,2189
2020-03-12,3272,1163,2109
2020-03-13,3311,1137,2174
2020-03-14,2936,894,2042
2020-03-15,2778,816,1962
2020-03-16,3296,1260,2036
2020-03-17,3207,1300,1907
2020-03-18,3054,1275,1779
2020-03-19,2780,1015,1765
2020-03-20,2740,1069,1671
2020-03-21,2490,843,1647
2020-03-22,1821,215,1606
2020-03-23,2632,1036,1596
2020-03-24,2508,898,1610
2020-03-25,2550,995,1555
2020-03-26,2475,939,1536
2020-03-27,2472,948,1524
2020-03-28,2301,752,1549
2020-03-29,2423,701,1722
2020-03-30,2734,1095,1639
2020-03-31,2485,962,1523
2020-04-01,2403,939,1464
