日期,全部,pc,移动
2019-12-01,74,,74
2019-12-02,133,64,69
2019-12-03,127,57,70
2019-12-04,144,70,74
2019-12-05,126,59,67
2019-12-06,136,66,70
2019-12-07,135,61,74
2019-12-08,69,,69
2019-12-09,137,63,74
2019-12-10,142,72,70
2019-12-11,146,66,80
2019-12-12,139,61,78
2019-12-13,130,61,69
2019-12-14,122,59,63
2019-12-15,133,57,76
2019-12-16,130,63,67
2019-12-17,124,59,65
2019-12-18,137,57,80
2019-12-19,130,64,66
2019-12-20,71,,71
2019-12-21,145,59,86
2019-12-22,67,,67
2019-12-23,126,59,67
2019-12-24,137,63,74
2019-12-25,139,61,78
2019-12-26,133,57,76
2019-12-27,127,57,70
2019-12-28,70,,70
2019-12-29,67,,67
2019-12-30,133,57,76
2019-12-31,124,57,67
2020-01-01,133,59,74
2020-01-02,124,57,67
2020-01-03,120,57,63
2020-01-04,132,59,73
2020-01-05,69,,69
2020-01-06,128,57,71
2020-01-07,126,59,67
2020-01-08,132,61,71
2020-01-09,122,57,65
2020-01-10,124,57,67
2020-01-11,66,,66
2020-01-12,57,,57
2020-01-13,57,,57
2020-01-14,66,,66
2020-01-15,124,57,67
2020-01-16,128,70,58
2020-01-17,129,64,65
2020-01-18,130,59,71
2020-01-19,135,61,74
2020-01-20,374,114,260
2020-01-21,1135,250,885
2020-01-22,1358,265,1093
2020-01-23,1652,260,1392
2020-01-24,1193,218,975
2020-01-25,1189,209,980
2020-01-26,1357,250,1107
2020-01-27,1287,281,1006
2020-01-28,1220,242,978
2020-01-29,1191,231,960
2020-01-30,1158,220,938
2020-01-31,1189,253,936
2020-02-01,1162,253,909
2020-02-02,1138,225,913
2020-02-03,1213,298,915
2020-02-04,1194,287,907
2020-02-05,1223,304,919
2020-02-06,1211,278,933
2020-02-07,1223,299,924
2020-02-08,1212,274,938
2020-02-09,1259,318,941
2020-02-10,1398,459,939
2020-02-11,1361,450,911
2020-02-12,1239,357,882
2020-02-13,1198,324,874
2020-02-14,1248,375,873
2020-02-15,1112,271,841
2020-02-16,1053,213,840
2020-02-17,1235,380,855
2020-02-18,1217,375,842
2020-02-19,1219,371,848
2020-02-20,1160,319,841
2020-02-21,1131,316,815
2020-02-22,1081,274,807
2020-02-23,966,200,766
2020-02-24,1094,329,765
2020-02-25,1108,350,758
2020-02-26,1102,352,750
2020-02-27,1128,288,840
2020-02-28,1113,295,818
2020-02-29,1069,279,790
2020-03-01,867,216,651
2020-03-02,1076,372,704
2020-03-03,929,253,676
2020-03-04,926,302,624
2020-03-05,851,295,556
2020-03-06,842,299,543
2020-03-07,761,233,528
2020-03-08,675,150,525
2020-03-09,852,324,528
2020-03-10,848,327,521
2020-03-11,799,264,535
2020-03-12,795,239,556
2020-03-13,770,248,522
2020-03-14,721,200,521
2020-03-15,634,127,507
2020-03-16,703,242,461
2020-03-17,716,264,452
2020-03-18,689,285,404
2020-03-19,661,256,405
2020-03-20,653,265,388
2020-03-21,583,135,448
2020-03-22,446,72,374
2020-03-23,581,243,338
2020-03-24,584,205,379
2020-03-25,619,226,393
2020-03-26,589,205,384
2020-03-27,624,233,391
2020-03-28,538,169,369
2020-03-29,585,169,416
2020-03-30,711,281,430
2020-03-31,622,262,360
2020-04-01,542,202,340
