日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,57,
2019-12-03,60,,60
2019-12-04,57,,57
2019-12-05,65,,65
2019-12-06,115,57,58
2019-12-07,58,,58
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,57,57,
2019-12-16,57,57,
2019-12-17,63,,63
2019-12-18,63,,63
2019-12-19,116,59,57
2019-12-20,57,57,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,114,57,57
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,60,,60
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,57,57,
2020-01-09,57,,57
2020-01-10,59,59,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,57,57,
2020-01-14,59,59,
2020-01-15,57,57,
2020-01-16,57,57,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,117,57,60
2020-01-20,177,82,95
2020-01-21,357,135,222
2020-01-22,510,158,352
2020-01-23,684,179,505
2020-01-24,488,154,334
2020-01-25,427,120,307
2020-01-26,495,142,353
2020-01-27,509,133,376
2020-01-28,521,161,360
2020-01-29,466,163,303
2020-01-30,470,125,345
2020-01-31,421,139,282
2020-02-01,410,158,252
2020-02-02,467,168,299
2020-02-03,494,163,331
2020-02-04,476,157,319
2020-02-05,497,184,313
2020-02-06,497,159,338
2020-02-07,482,152,330
2020-02-08,479,155,324
2020-02-09,462,139,323
2020-02-10,457,158,299
2020-02-11,377,139,238
2020-02-12,373,120,253
2020-02-13,363,144,219
2020-02-14,328,116,212
2020-02-15,331,123,208
2020-02-16,296,95,201
2020-02-17,318,140,178
2020-02-18,319,137,182
2020-02-19,335,129,206
2020-02-20,333,125,208
2020-02-21,382,158,224
2020-02-22,319,116,203
2020-02-23,315,106,209
2020-02-24,387,162,225
2020-02-25,425,157,268
2020-02-26,395,183,212
2020-02-27,371,172,199
2020-02-28,348,155,193
2020-02-29,354,152,202
2020-03-01,307,106,201
2020-03-02,372,169,203
2020-03-03,322,129,193
2020-03-04,334,150,184
2020-03-05,321,144,177
2020-03-06,328,142,186
2020-03-07,293,110,183
2020-03-08,253,101,152
2020-03-09,282,133,149
2020-03-10,296,135,161
2020-03-11,295,144,151
2020-03-12,265,135,130
2020-03-13,267,118,149
2020-03-14,250,106,144
2020-03-15,238,91,147
2020-03-16,283,139,144
2020-03-17,284,148,136
2020-03-18,286,129,157
2020-03-19,233,116,117
2020-03-20,229,116,113
2020-03-21,219,93,126
2020-03-22,208,64,144
2020-03-23,250,116,134
2020-03-24,222,87,135
2020-03-25,219,101,118
2020-03-26,210,93,117
2020-03-27,227,102,125
2020-03-28,195,72,123
2020-03-29,204,72,132
2020-03-30,265,121,144
2020-03-31,218,101,117
2020-04-01,209,97,112
