日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,60,,60
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,58,,58
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,58,,58
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,63,,63
2020-01-21,207,72,135
2020-01-22,245,72,173
2020-01-23,273,76,197
2020-01-24,205,70,135
2020-01-25,259,70,189
2020-01-26,311,87,224
2020-01-27,302,106,196
2020-01-28,275,101,174
2020-01-29,276,76,200
2020-01-30,240,78,162
2020-01-31,259,89,170
2020-02-01,241,83,158
2020-02-02,254,80,174
2020-02-03,281,91,190
2020-02-04,240,83,157
2020-02-05,301,104,197
2020-02-06,292,99,193
2020-02-07,300,99,201
2020-02-08,264,82,182
2020-02-09,251,83,168
2020-02-10,208,78,130
2020-02-11,212,76,136
2020-02-12,225,78,147
2020-02-13,202,80,122
2020-02-14,195,74,121
2020-02-15,194,64,130
2020-02-16,189,74,115
2020-02-17,204,70,134
2020-02-18,200,72,128
2020-02-19,181,76,105
2020-02-20,185,64,121
2020-02-21,175,63,112
2020-02-22,167,61,106
2020-02-23,172,72,100
2020-02-24,154,61,93
2020-02-25,167,68,99
2020-02-26,176,80,96
2020-02-27,147,63,84
2020-02-28,156,61,95
2020-02-29,179,64,115
2020-03-01,143,59,84
2020-03-02,163,61,102
2020-03-03,145,61,84
2020-03-04,143,63,80
2020-03-05,152,63,89
2020-03-06,159,63,96
2020-03-07,148,59,89
2020-03-08,133,57,76
2020-03-09,143,64,79
2020-03-10,133,64,69
2020-03-11,142,59,83
2020-03-12,137,59,78
2020-03-13,148,66,82
2020-03-14,74,,74
2020-03-15,80,,80
2020-03-16,148,66,82
2020-03-17,130,57,73
2020-03-18,129,59,70
2020-03-19,133,64,69
2020-03-20,66,,66
2020-03-21,129,59,70
2020-03-22,124,57,67
2020-03-23,130,57,73
2020-03-24,80,,80
2020-03-25,118,57,61
2020-03-26,126,61,65
2020-03-27,124,57,67
2020-03-28,127,64,63
2020-03-29,135,57,78
2020-03-30,130,59,71
2020-03-31,129,64,65
2020-04-01,127,57,70
