日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,117,57,60
2019-12-03,117,57,60
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,60,,60
2019-12-07,60,,60
2019-12-08,63,,63
2019-12-09,60,,60
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,117,57,60
2019-12-13,57,,57
2019-12-14,57,,57
2019-12-15,57,,57
2019-12-16,114,57,57
2019-12-17,,,
2019-12-18,57,57,
2019-12-19,118,57,61
2019-12-20,58,,58
2019-12-21,57,,57
2019-12-22,114,57,57
2019-12-23,61,,61
2019-12-24,58,,58
2019-12-25,58,,58
2019-12-26,58,,58
2019-12-27,,,
2019-12-28,60,,60
2019-12-29,,,
2019-12-30,60,,60
2019-12-31,115,57,58
2020-01-01,114,57,57
2020-01-02,61,,61
2020-01-03,114,57,57
2020-01-04,60,,60
2020-01-05,58,,58
2020-01-06,115,57,58
2020-01-07,57,57,
2020-01-08,116,59,57
2020-01-09,58,,58
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,58,,58
2020-01-13,114,57,57
2020-01-14,,,
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,58,,58
2020-01-19,118,57,61
2020-01-20,200,82,118
2020-01-21,580,161,419
2020-01-22,792,146,646
2020-01-23,979,197,782
2020-01-24,581,129,452
2020-01-25,654,118,536
2020-01-26,772,137,635
2020-01-27,710,104,606
2020-01-28,695,135,560
2020-01-29,702,139,563
2020-01-30,633,150,483
2020-01-31,693,154,539
2020-02-01,671,135,536
2020-02-02,653,163,490
2020-02-03,663,157,506
2020-02-04,654,179,475
2020-02-05,666,170,496
2020-02-06,732,187,545
2020-02-07,733,175,558
2020-02-08,743,150,593
2020-02-09,732,165,567
2020-02-10,719,187,532
2020-02-11,666,205,461
2020-02-12,610,190,420
2020-02-13,566,151,415
2020-02-14,530,135,395
2020-02-15,457,127,330
2020-02-16,414,106,308
2020-02-17,460,157,303
2020-02-18,413,133,280
2020-02-19,445,140,305
2020-02-20,424,129,295
2020-02-21,400,120,280
2020-02-22,367,139,228
2020-02-23,377,106,271
2020-02-24,398,135,263
2020-02-25,426,137,289
2020-02-26,404,142,262
2020-02-27,380,131,249
2020-02-28,413,140,273
2020-02-29,367,114,253
2020-03-01,364,91,273
2020-03-02,402,146,256
2020-03-03,366,127,239
2020-03-04,391,150,241
2020-03-05,343,135,208
2020-03-06,323,140,183
2020-03-07,295,97,198
2020-03-08,262,80,182
2020-03-09,318,110,208
2020-03-10,305,112,193
2020-03-11,304,118,186
2020-03-12,286,106,180
2020-03-13,306,97,209
2020-03-14,268,87,181
2020-03-15,267,78,189
2020-03-16,296,112,184
2020-03-17,260,112,148
2020-03-18,259,95,164
2020-03-19,274,125,149
2020-03-20,274,112,162
2020-03-21,238,80,158
2020-03-22,227,61,166
2020-03-23,291,106,185
2020-03-24,229,78,151
2020-03-25,253,102,151
2020-03-26,207,72,135
2020-03-27,248,85,163
2020-03-28,232,80,152
2020-03-29,228,68,160
2020-03-30,266,106,160
2020-03-31,249,91,158
2020-04-01,256,93,163
