日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,57,,57
2019-12-03,120,57,63
2019-12-04,61,,61
2019-12-05,65,,65
2019-12-06,60,,60
2019-12-07,58,,58
2019-12-08,61,,61
2019-12-09,58,,58
2019-12-10,57,,57
2019-12-11,57,57,
2019-12-12,57,,57
2019-12-13,118,61,57
2019-12-14,58,,58
2019-12-15,58,,58
2019-12-16,118,57,61
2019-12-17,60,,60
2019-12-18,,,
2019-12-19,60,,60
2019-12-20,114,57,57
2019-12-21,,,
2019-12-22,65,,65
2019-12-23,57,,57
2019-12-24,65,,65
2019-12-25,58,,58
2019-12-26,58,,58
2019-12-27,114,57,57
2019-12-28,60,,60
2019-12-29,61,,61
2019-12-30,114,57,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,58,,58
2020-01-05,58,,58
2020-01-06,57,,57
2020-01-07,58,,58
2020-01-08,117,57,60
2020-01-09,122,59,63
2020-01-10,61,,61
2020-01-11,58,,58
2020-01-12,57,,57
2020-01-13,58,,58
2020-01-14,57,,57
2020-01-15,120,59,61
2020-01-16,,,
2020-01-17,60,,60
2020-01-18,114,57,57
2020-01-19,60,,60
2020-01-20,207,72,135
2020-01-21,756,165,591
2020-01-22,1079,182,897
2020-01-23,1184,213,971
2020-01-24,1040,176,864
2020-01-25,1263,222,1041
2020-01-26,1174,198,976
2020-01-27,1104,191,913
2020-01-28,1113,209,904
2020-01-29,1068,186,882
2020-01-30,1072,188,884
2020-01-31,1074,187,887
2020-02-01,1099,223,876
2020-02-02,1052,182,870
2020-02-03,1113,234,879
2020-02-04,1067,200,867
2020-02-05,1091,212,879
2020-02-06,1077,200,877
2020-02-07,1084,209,875
2020-02-08,1051,186,865
2020-02-09,965,162,803
2020-02-10,1005,201,804
2020-02-11,887,191,696
2020-02-12,792,172,620
2020-02-13,802,168,634
2020-02-14,765,168,597
2020-02-15,701,172,529
2020-02-16,598,137,461
2020-02-17,572,135,437
2020-02-18,560,162,398
2020-02-19,504,144,360
2020-02-20,516,133,383
2020-02-21,488,139,349
2020-02-22,428,116,312
2020-02-23,423,106,317
2020-02-24,440,110,330
2020-02-25,446,108,338
2020-02-26,402,101,301
2020-02-27,430,129,301
2020-02-28,423,110,313
2020-02-29,398,118,280
2020-03-01,356,104,252
2020-03-02,351,120,231
2020-03-03,321,82,239
2020-03-04,329,93,236
2020-03-05,329,112,217
2020-03-06,328,104,224
2020-03-07,297,85,212
2020-03-08,259,78,181
2020-03-09,290,101,189
2020-03-10,317,114,203
2020-03-11,321,93,228
2020-03-12,282,89,193
2020-03-13,300,91,209
2020-03-14,261,87,174
2020-03-15,254,72,182
2020-03-16,285,85,200
2020-03-17,274,89,185
2020-03-18,258,91,167
2020-03-19,256,83,173
2020-03-20,244,85,159
2020-03-21,232,64,168
2020-03-22,161,,161
2020-03-23,247,85,162
2020-03-24,247,70,177
2020-03-25,236,78,158
2020-03-26,240,78,162
2020-03-27,263,102,161
2020-03-28,222,68,154
2020-03-29,254,68,186
2020-03-30,266,89,177
2020-03-31,244,93,151
2020-04-01,267,89,178
