日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,58,,58
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,60,,60
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,57,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,57,,57
2020-01-20,130,57,73
2020-01-21,258,87,171
2020-01-22,351,97,254
2020-01-23,413,108,305
2020-01-24,298,80,218
2020-01-25,489,102,387
2020-01-26,450,116,334
2020-01-27,467,97,370
2020-01-28,417,101,316
2020-01-29,373,91,282
2020-01-30,380,99,281
2020-01-31,456,125,331
2020-02-01,396,112,284
2020-02-02,397,106,291
2020-02-03,451,123,328
2020-02-04,424,108,316
2020-02-05,435,112,323
2020-02-06,430,135,295
2020-02-07,393,108,285
2020-02-08,374,89,285
2020-02-09,375,101,274
2020-02-10,338,83,255
2020-02-11,306,85,221
2020-02-12,302,106,196
2020-02-13,295,76,219
2020-02-14,301,83,218
2020-02-15,235,78,157
2020-02-16,262,83,179
2020-02-17,265,76,189
2020-02-18,244,93,151
2020-02-19,235,68,167
2020-02-20,230,76,154
2020-02-21,224,72,152
2020-02-22,217,76,141
2020-02-23,181,66,115
2020-02-24,215,63,152
2020-02-25,183,70,113
2020-02-26,170,68,102
2020-02-27,160,63,97
2020-02-28,188,78,110
2020-02-29,200,66,134
2020-03-01,164,64,100
2020-03-02,166,66,100
2020-03-03,168,63,105
2020-03-04,167,63,104
2020-03-05,191,70,121
2020-03-06,152,63,89
2020-03-07,158,66,92
2020-03-08,158,59,99
2020-03-09,169,63,106
2020-03-10,159,59,100
2020-03-11,168,63,105
2020-03-12,163,61,102
2020-03-13,155,64,91
2020-03-14,160,63,97
2020-03-15,152,63,89
2020-03-16,160,64,96
2020-03-17,150,61,89
2020-03-18,155,63,92
2020-03-19,153,66,87
2020-03-20,134,64,70
2020-03-21,154,59,95
2020-03-22,86,,86
2020-03-23,70,,70
2020-03-24,89,,89
2020-03-25,130,61,69
2020-03-26,120,59,61
2020-03-27,130,57,73
2020-03-28,126,59,67
2020-03-29,78,,78
2020-03-30,76,,76
2020-03-31,145,63,82
2020-04-01,133,63,70
