日期,全部,pc,移动
2019-12-01,57,57,
2019-12-02,57,57,
2019-12-03,60,,60
2019-12-04,117,57,60
2019-12-05,115,57,58
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,118,57,61
2019-12-09,,,
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,57,57,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,57,
2019-12-18,,,
2019-12-19,57,57,
2019-12-20,,,
2019-12-21,,,
2019-12-22,114,57,57
2019-12-23,,,
2019-12-24,57,57,
2019-12-25,,,
2019-12-26,57,57,
2019-12-27,57,,57
2019-12-28,118,57,61
2019-12-29,58,,58
2019-12-30,58,,58
2019-12-31,60,,60
2020-01-01,57,,57
2020-01-02,57,57,
2020-01-03,,,
2020-01-04,63,,63
2020-01-05,118,57,61
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,57,
2020-01-15,59,59,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,156,74,82
2020-01-21,371,118,253
2020-01-22,604,158,446
2020-01-23,887,195,692
2020-01-24,580,151,429
2020-01-25,633,120,513
2020-01-26,852,154,698
2020-01-27,795,158,637
2020-01-28,715,154,561
2020-01-29,708,172,536
2020-01-30,667,139,528
2020-01-31,588,142,446
2020-02-01,604,161,443
2020-02-02,663,146,517
2020-02-03,661,168,493
2020-02-04,664,161,503
2020-02-05,587,162,425
2020-02-06,542,155,387
2020-02-07,566,129,437
2020-02-08,600,148,452
2020-02-09,555,146,409
2020-02-10,528,166,362
2020-02-11,440,148,292
2020-02-12,481,157,324
2020-02-13,472,163,309
2020-02-14,529,148,381
2020-02-15,406,133,273
2020-02-16,359,114,245
2020-02-17,371,125,246
2020-02-18,345,131,214
2020-02-19,334,106,228
2020-02-20,337,106,231
2020-02-21,326,101,225
2020-02-22,336,95,241
2020-02-23,316,104,212
2020-02-24,355,110,245
2020-02-25,366,125,241
2020-02-26,337,108,229
2020-02-27,321,116,205
2020-02-28,342,120,222
2020-02-29,316,108,208
2020-03-01,264,91,173
2020-03-02,274,97,177
2020-03-03,292,118,174
2020-03-04,253,91,162
2020-03-05,290,101,189
2020-03-06,253,99,154
2020-03-07,248,83,165
2020-03-08,229,74,155
2020-03-09,282,102,180
2020-03-10,252,101,151
2020-03-11,249,95,154
2020-03-12,257,99,158
2020-03-13,257,106,151
2020-03-14,241,82,159
2020-03-15,212,82,130
2020-03-16,225,97,128
2020-03-17,223,93,130
2020-03-18,242,110,132
2020-03-19,259,102,157
2020-03-20,222,91,131
2020-03-21,200,95,105
2020-03-22,128,,128
2020-03-23,181,82,99
2020-03-24,205,74,131
2020-03-25,188,83,105
2020-03-26,193,83,110
2020-03-27,187,66,121
2020-03-28,213,70,143
2020-03-29,190,72,118
2020-03-30,213,82,131
2020-03-31,226,114,112
2020-04-01,224,125,99
