日期,全部,pc,移动
2019-12-01,92,,92
2019-12-02,157,74,83
2019-12-03,152,66,86
2019-12-04,149,66,83
2019-12-05,160,82,78
2019-12-06,168,76,92
2019-12-07,137,63,74
2019-12-08,151,59,92
2019-12-09,182,80,102
2019-12-10,166,70,96
2019-12-11,147,63,84
2019-12-12,159,70,89
2019-12-13,137,59,78
2019-12-14,151,59,92
2019-12-15,83,,83
2019-12-16,161,78,83
2019-12-17,145,66,79
2019-12-18,147,64,83
2019-12-19,144,57,87
2019-12-20,144,64,80
2019-12-21,130,59,71
2019-12-22,133,57,76
2019-12-23,158,72,86
2019-12-24,146,66,80
2019-12-25,139,59,80
2019-12-26,127,57,70
2019-12-27,136,57,79
2019-12-28,79,,79
2019-12-29,84,,84
2019-12-30,158,66,92
2019-12-31,189,87,102
2020-01-01,136,57,79
2020-01-02,143,72,71
2020-01-03,157,74,83
2020-01-04,150,66,84
2020-01-05,162,63,99
2020-01-06,172,85,87
2020-01-07,166,64,102
2020-01-08,164,72,92
2020-01-09,150,70,80
2020-01-10,157,68,89
2020-01-11,149,57,92
2020-01-12,86,,86
2020-01-13,139,68,71
2020-01-14,150,66,84
2020-01-15,119,59,60
2020-01-16,146,70,76
2020-01-17,152,74,78
2020-01-18,151,59,92
2020-01-19,310,152,158
2020-01-20,1797,863,934
2020-01-21,3371,1009,2362
2020-01-22,3883,905,2978
2020-01-23,3884,823,3061
2020-01-24,1906,367,1539
2020-01-25,2161,459,1702
2020-01-26,2455,496,1959
2020-01-27,2427,572,1855
2020-01-28,2402,578,1824
2020-01-29,2181,574,1607
2020-01-30,2143,588,1555
2020-01-31,2326,696,1630
2020-02-01,2221,737,1484
2020-02-02,2287,734,1553
2020-02-03,2345,850,1495
2020-02-04,2286,846,1440
2020-02-05,2410,865,1545
2020-02-06,2421,857,1564
2020-02-07,2437,853,1584
2020-02-08,2379,799,1580
2020-02-09,2170,710,1460
2020-02-10,2234,891,1343
2020-02-11,2050,845,1205
2020-02-12,2010,860,1150
2020-02-13,2019,842,1177
2020-02-14,1914,827,1087
2020-02-15,1594,602,992
2020-02-16,1494,519,975
2020-02-17,1975,873,1102
2020-02-18,1886,855,1031
2020-02-19,1830,849,981
2020-02-20,1741,774,967
2020-02-21,1786,819,967
2020-02-22,1486,546,940
2020-02-23,1347,412,935
2020-02-24,1825,866,959
2020-02-25,1826,861,965
2020-02-26,1853,873,980
2020-02-27,1802,843,959
2020-02-28,1866,895,971
2020-02-29,1689,713,976
2020-03-01,1485,540,945
2020-03-02,1867,911,956
2020-03-03,1752,814,938
2020-03-04,1764,857,907
2020-03-05,1733,850,883
2020-03-06,1680,816,864
2020-03-07,1383,519,864
2020-03-08,1152,318,834
2020-03-09,1705,852,853
2020-03-10,1726,843,883
2020-03-11,1671,813,858
2020-03-12,1576,724,852
2020-03-13,1574,727,847
2020-03-14,1249,399,850
2020-03-15,1139,298,841
2020-03-16,1723,851,872
2020-03-17,1692,856,836
2020-03-18,1540,803,737
2020-03-19,1385,617,768
2020-03-20,1447,737,710
2020-03-21,1080,361,719
2020-03-22,854,127,727
2020-03-23,1432,734,698
2020-03-24,1154,498,656
2020-03-25,1437,715,722
2020-03-26,1357,614,743
2020-03-27,1259,609,650
2020-03-28,1019,316,703
2020-03-29,1057,273,784
2020-03-30,1517,772,745
2020-03-31,1252,569,683
2020-04-01,1291,575,716
