日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,61,,61
2019-12-05,58,,58
2019-12-06,59,59,
2019-12-07,115,57,58
2019-12-08,57,57,
2019-12-09,116,59,57
2019-12-10,57,57,
2019-12-11,115,57,58
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,57,
2019-12-19,58,,58
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,60,,60
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,58,,58
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,57,57,
2020-01-01,114,57,57
2020-01-02,114,57,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,58,,58
2020-01-08,114,57,57
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,57,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,121,64,57
2020-01-20,207,102,105
2020-01-21,439,166,273
2020-01-22,526,173,353
2020-01-23,579,170,409
2020-01-24,367,106,261
2020-01-25,360,101,259
2020-01-26,420,129,291
2020-01-27,436,131,305
2020-01-28,397,116,281
2020-01-29,377,142,235
2020-01-30,368,129,239
2020-01-31,425,140,285
2020-02-01,418,127,291
2020-02-02,373,135,238
2020-02-03,387,135,252
2020-02-04,379,158,221
2020-02-05,418,159,259
2020-02-06,411,163,248
2020-02-07,431,150,281
2020-02-08,373,127,246
2020-02-09,413,177,236
2020-02-10,429,215,214
2020-02-11,385,157,228
2020-02-12,348,159,189
2020-02-13,323,152,171
2020-02-14,340,123,217
2020-02-15,294,118,176
2020-02-16,293,129,164
2020-02-17,327,157,170
2020-02-18,316,142,174
2020-02-19,326,125,201
2020-02-20,305,139,166
2020-02-21,246,121,125
2020-02-22,222,91,131
2020-02-23,205,82,123
2020-02-24,259,123,136
2020-02-25,293,142,151
2020-02-26,284,123,161
2020-02-27,271,120,151
2020-02-28,292,116,176
2020-02-29,253,101,152
2020-03-01,241,87,154
2020-03-02,316,155,161
2020-03-03,264,121,143
2020-03-04,258,127,131
2020-03-05,233,108,125
2020-03-06,254,120,134
2020-03-07,214,89,125
2020-03-08,184,76,108
2020-03-09,232,102,130
2020-03-10,224,106,118
2020-03-11,220,112,108
2020-03-12,203,104,99
2020-03-13,209,97,112
2020-03-14,173,76,97
2020-03-15,185,80,105
2020-03-16,214,112,102
2020-03-17,190,95,95
2020-03-18,270,148,122
2020-03-19,208,108,100
2020-03-20,169,78,91
2020-03-21,163,66,97
2020-03-22,148,59,89
2020-03-23,193,85,108
2020-03-24,167,78,89
2020-03-25,206,104,102
2020-03-26,172,83,89
2020-03-27,159,76,83
2020-03-28,155,63,92
2020-03-29,176,68,108
2020-03-30,202,106,96
2020-03-31,170,91,79
2020-04-01,166,80,86
