日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,57,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,60,,60
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,61,,61
2020-01-07,57,57,
2020-01-08,57,57,
2020-01-09,116,59,57
2020-01-10,,,
2020-01-11,57,57,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,57,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,58,,58
2020-01-20,137,61,76
2020-01-21,269,80,189
2020-01-22,391,104,287
2020-01-23,544,139,405
2020-01-24,383,116,267
2020-01-25,365,91,274
2020-01-26,544,139,405
2020-01-27,487,121,366
2020-01-28,449,125,324
2020-01-29,386,108,278
2020-01-30,381,97,284
2020-01-31,383,121,262
2020-02-01,401,121,280
2020-02-02,383,110,273
2020-02-03,437,131,306
2020-02-04,378,123,255
2020-02-05,398,123,275
2020-02-06,423,129,294
2020-02-07,345,121,224
2020-02-08,377,116,261
2020-02-09,400,125,275
2020-02-10,320,123,197
2020-02-11,290,95,195
2020-02-12,278,83,195
2020-02-13,284,91,193
2020-02-14,300,101,199
2020-02-15,244,82,162
2020-02-16,246,78,168
2020-02-17,279,93,186
2020-02-18,236,89,147
2020-02-19,240,85,155
2020-02-20,233,78,155
2020-02-21,258,85,173
2020-02-22,244,70,174
2020-02-23,251,72,179
2020-02-24,265,85,180
2020-02-25,259,91,168
2020-02-26,261,87,174
2020-02-27,254,95,159
2020-02-28,243,83,160
2020-02-29,245,74,171
2020-03-01,204,57,147
2020-03-02,228,76,152
2020-03-03,226,72,154
2020-03-04,193,74,119
2020-03-05,213,78,135
2020-03-06,189,85,104
2020-03-07,169,72,97
2020-03-08,200,70,130
2020-03-09,183,68,115
2020-03-10,182,83,99
2020-03-11,176,76,100
2020-03-12,178,68,110
2020-03-13,203,91,112
2020-03-14,175,70,105
2020-03-15,172,72,100
2020-03-16,163,74,89
2020-03-17,187,85,102
2020-03-18,169,74,95
2020-03-19,178,74,104
2020-03-20,172,80,92
2020-03-21,152,68,84
2020-03-22,157,66,91
2020-03-23,165,68,97
2020-03-24,151,64,87
2020-03-25,147,61,86
2020-03-26,148,66,82
2020-03-27,159,68,91
2020-03-28,96,,96
2020-03-29,155,64,91
2020-03-30,146,64,82
2020-03-31,156,63,93
2020-04-01,155,59,96
