日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,58,,58
2019-12-04,57,,57
2019-12-05,58,,58
2019-12-06,57,57,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,57,57,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,57,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,57,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,57,
2020-01-10,57,,57
2020-01-11,61,,61
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,137,61,76
2020-01-21,244,68,176
2020-01-22,378,93,285
2020-01-23,502,112,390
2020-01-24,355,95,260
2020-01-25,482,106,376
2020-01-26,589,127,462
2020-01-27,534,139,395
2020-01-28,465,127,338
2020-01-29,581,162,419
2020-01-30,487,108,379
2020-01-31,460,133,327
2020-02-01,466,120,346
2020-02-02,431,121,310
2020-02-03,427,125,302
2020-02-04,428,120,308
2020-02-05,481,150,331
2020-02-06,422,131,291
2020-02-07,439,120,319
2020-02-08,410,102,308
2020-02-09,410,121,289
2020-02-10,386,123,263
2020-02-11,362,102,260
2020-02-12,376,121,255
2020-02-13,345,114,231
2020-02-14,295,99,196
2020-02-15,302,85,217
2020-02-16,278,80,198
2020-02-17,265,85,180
2020-02-18,269,82,187
2020-02-19,274,93,181
2020-02-20,271,101,170
2020-02-21,240,89,151
2020-02-22,220,76,144
2020-02-23,238,70,168
2020-02-24,239,78,161
2020-02-25,227,80,147
2020-02-26,182,76,106
2020-02-27,223,76,147
2020-02-28,223,82,141
2020-02-29,221,72,149
2020-03-01,213,70,143
2020-03-02,204,72,132
2020-03-03,200,82,118
2020-03-04,194,72,122
2020-03-05,203,72,131
2020-03-06,191,72,119
2020-03-07,189,63,126
2020-03-08,177,68,109
2020-03-09,187,68,119
2020-03-10,171,66,105
2020-03-11,165,70,95
2020-03-12,150,70,80
2020-03-13,174,72,102
2020-03-14,163,68,95
2020-03-15,161,68,93
2020-03-16,169,70,99
2020-03-17,158,72,86
2020-03-18,135,64,71
2020-03-19,161,57,104
2020-03-20,164,64,100
2020-03-21,143,57,86
2020-03-22,141,57,84
2020-03-23,137,61,76
2020-03-24,150,59,91
2020-03-25,144,61,83
2020-03-26,169,59,110
2020-03-27,165,57,108
2020-03-28,152,61,91
2020-03-29,165,57,108
2020-03-30,154,63,91
2020-03-31,163,66,97
2020-04-01,143,61,82
