日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,57,57,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,57,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,63,,63
2020-01-21,202,70,132
2020-01-22,242,68,174
2020-01-23,345,93,252
2020-01-24,265,85,180
2020-01-25,269,68,201
2020-01-26,265,72,193
2020-01-27,246,76,170
2020-01-28,262,72,190
2020-01-29,253,83,170
2020-01-30,208,70,138
2020-01-31,241,76,165
2020-02-01,236,66,170
2020-02-02,234,76,158
2020-02-03,223,72,151
2020-02-04,243,83,160
2020-02-05,221,66,155
2020-02-06,234,95,139
2020-02-07,226,66,160
2020-02-08,240,83,157
2020-02-09,219,91,128
2020-02-10,197,76,121
2020-02-11,210,82,128
2020-02-12,195,63,132
2020-02-13,225,80,145
2020-02-14,208,72,136
2020-02-15,207,68,139
2020-02-16,202,74,128
2020-02-17,169,70,99
2020-02-18,177,72,105
2020-02-19,190,72,118
2020-02-20,173,63,110
2020-02-21,207,68,139
2020-02-22,158,61,97
2020-02-23,165,59,106
2020-02-24,170,64,106
2020-02-25,179,74,105
2020-02-26,87,,87
2020-02-27,165,66,99
2020-02-28,178,70,108
2020-02-29,169,61,108
2020-03-01,157,61,96
2020-03-02,160,63,97
2020-03-03,151,64,87
2020-03-04,156,57,99
2020-03-05,153,61,92
2020-03-06,140,57,83
2020-03-07,143,59,84
2020-03-08,137,63,74
2020-03-09,142,59,83
2020-03-10,147,63,84
2020-03-11,136,63,73
2020-03-12,131,61,70
2020-03-13,143,63,80
2020-03-14,137,59,78
2020-03-15,144,64,80
2020-03-16,138,64,74
2020-03-17,140,61,79
2020-03-18,141,61,80
2020-03-19,135,59,76
2020-03-20,74,,74
2020-03-21,120,57,63
2020-03-22,70,,70
2020-03-23,125,59,66
2020-03-24,126,57,69
2020-03-25,65,,65
2020-03-26,132,59,73
2020-03-27,70,,70
2020-03-28,117,57,60
2020-03-29,129,59,70
2020-03-30,65,,65
2020-03-31,117,57,60
2020-04-01,69,,69
