日期,全部,pc,移动
2019-12-01,66,,66
2019-12-02,67,,67
2019-12-03,67,,67
2019-12-04,70,,70
2019-12-05,57,,57
2019-12-06,58,,58
2019-12-07,63,,63
2019-12-08,69,,69
2019-12-09,117,57,60
2019-12-10,65,,65
2019-12-11,128,59,69
2019-12-12,120,57,63
2019-12-13,65,,65
2019-12-14,123,57,66
2019-12-15,63,,63
2019-12-16,119,61,58
2019-12-17,65,,65
2019-12-18,124,59,65
2019-12-19,61,,61
2019-12-20,61,,61
2019-12-21,123,57,66
2019-12-22,70,,70
2019-12-23,118,57,61
2019-12-24,63,,63
2019-12-25,67,,67
2019-12-26,118,57,61
2019-12-27,61,,61
2019-12-28,57,,57
2019-12-29,67,,67
2019-12-30,60,,60
2019-12-31,66,,66
2020-01-01,63,,63
2020-01-02,63,,63
2020-01-03,57,,57
2020-01-04,65,,65
2020-01-05,123,57,66
2020-01-06,117,57,60
2020-01-07,60,,60
2020-01-08,58,,58
2020-01-09,61,,61
2020-01-10,118,57,61
2020-01-11,60,,60
2020-01-12,58,,58
2020-01-13,115,57,58
2020-01-14,57,,57
2020-01-15,57,,57
2020-01-16,60,,60
2020-01-17,123,57,66
2020-01-18,61,,61
2020-01-19,126,59,67
2020-01-20,246,80,166
2020-01-21,887,158,729
2020-01-22,1139,166,973
2020-01-23,1629,233,1396
2020-01-24,1137,190,947
2020-01-25,1166,168,998
2020-01-26,1191,157,1034
2020-01-27,1143,175,968
2020-01-28,1102,183,919
2020-01-29,1094,195,899
2020-01-30,1122,213,909
2020-01-31,1092,186,906
2020-02-01,1071,176,895
2020-02-02,1110,209,901
2020-02-03,1083,205,878
2020-02-04,1030,182,848
2020-02-05,1040,177,863
2020-02-06,1057,197,860
2020-02-07,1044,186,858
2020-02-08,1030,173,857
2020-02-09,1005,166,839
2020-02-10,1041,195,846
2020-02-11,915,163,752
2020-02-12,864,155,709
2020-02-13,855,118,737
2020-02-14,900,144,756
2020-02-15,778,151,627
2020-02-16,727,139,588
2020-02-17,755,135,620
2020-02-18,725,148,577
2020-02-19,734,152,582
2020-02-20,690,150,540
2020-02-21,692,125,567
2020-02-22,608,114,494
2020-02-23,638,99,539
2020-02-24,702,142,560
2020-02-25,704,161,543
2020-02-26,750,150,600
2020-02-27,644,158,486
2020-02-28,709,169,540
2020-02-29,690,137,553
2020-03-01,593,118,475
2020-03-02,656,165,491
2020-03-03,584,116,468
2020-03-04,550,144,406
2020-03-05,525,131,394
2020-03-06,467,108,359
2020-03-07,401,80,321
2020-03-08,424,91,333
2020-03-09,473,121,352
2020-03-10,444,125,319
2020-03-11,451,106,345
2020-03-12,389,102,287
2020-03-13,402,106,296
2020-03-14,413,97,316
2020-03-15,341,93,248
2020-03-16,394,114,280
2020-03-17,360,106,254
2020-03-18,392,101,291
2020-03-19,337,89,248
2020-03-20,310,82,228
2020-03-21,278,64,214
2020-03-22,281,61,220
2020-03-23,268,78,190
2020-03-24,268,85,183
2020-03-25,282,64,218
2020-03-26,282,89,193
2020-03-27,263,76,187
2020-03-28,244,59,185
2020-03-29,266,74,192
2020-03-30,282,89,193
2020-03-31,255,74,181
2020-04-01,273,76,197
