日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,57,
2019-12-11,59,59,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,63,63,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,57,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,57,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,130,61,69
2020-01-21,234,83,151
2020-01-22,368,91,277
2020-01-23,521,112,409
2020-01-24,350,83,267
2020-01-25,469,97,372
2020-01-26,413,108,305
2020-01-27,374,110,264
2020-01-28,344,89,255
2020-01-29,309,91,218
2020-01-30,330,110,220
2020-01-31,351,91,260
2020-02-01,360,99,261
2020-02-02,350,95,255
2020-02-03,315,112,203
2020-02-04,314,102,212
2020-02-05,343,123,220
2020-02-06,330,108,222
2020-02-07,293,101,192
2020-02-08,306,91,215
2020-02-09,316,108,208
2020-02-10,327,110,217
2020-02-11,295,97,198
2020-02-12,263,87,176
2020-02-13,317,102,215
2020-02-14,284,76,208
2020-02-15,231,72,159
2020-02-16,255,78,177
2020-02-17,231,72,159
2020-02-18,231,82,149
2020-02-19,232,87,145
2020-02-20,251,78,173
2020-02-21,236,82,154
2020-02-22,219,64,155
2020-02-23,238,68,170
2020-02-24,243,91,152
2020-02-25,223,85,138
2020-02-26,224,70,154
2020-02-27,236,85,151
2020-02-28,198,68,130
2020-02-29,212,74,138
2020-03-01,197,74,123
2020-03-02,201,70,131
2020-03-03,191,66,125
2020-03-04,220,76,144
2020-03-05,187,74,113
2020-03-06,174,64,110
2020-03-07,174,66,108
2020-03-08,166,66,100
2020-03-09,152,72,80
2020-03-10,165,68,97
2020-03-11,177,64,113
2020-03-12,163,68,95
2020-03-13,184,89,95
2020-03-14,146,59,87
2020-03-15,149,63,86
2020-03-16,172,70,102
2020-03-17,156,64,92
2020-03-18,142,64,78
2020-03-19,157,68,89
2020-03-20,156,64,92
2020-03-21,136,63,73
2020-03-22,79,,79
2020-03-23,132,59,73
2020-03-24,148,59,89
2020-03-25,142,68,74
2020-03-26,133,59,74
2020-03-27,137,57,80
2020-03-28,137,61,76
2020-03-29,128,61,67
2020-03-30,142,63,79
2020-03-31,136,57,79
2020-04-01,142,64,78
