日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,58,,58
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,57,,57
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,122,57,65
2019-12-09,58,,58
2019-12-10,57,,57
2019-12-11,118,57,61
2019-12-12,118,57,61
2019-12-13,,,
2019-12-14,,,
2019-12-15,58,,58
2019-12-16,57,,57
2019-12-17,59,59,
2019-12-18,58,,58
2019-12-19,58,,58
2019-12-20,116,59,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,58,,58
2019-12-24,,,
2019-12-25,57,,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,57,,57
2019-12-31,58,,58
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,60,,60
2020-01-06,57,,57
2020-01-07,59,59,
2020-01-08,,,
2020-01-09,114,57,57
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,58,,58
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,,,
2020-01-20,139,57,82
2020-01-21,295,97,198
2020-01-22,494,99,395
2020-01-23,779,135,644
2020-01-24,557,99,458
2020-01-25,592,101,491
2020-01-26,649,106,543
2020-01-27,555,97,458
2020-01-28,463,91,372
2020-01-29,404,74,330
2020-01-30,454,91,363
2020-01-31,425,80,345
2020-02-01,454,112,342
2020-02-02,456,97,359
2020-02-03,437,95,342
2020-02-04,442,104,338
2020-02-05,412,95,317
2020-02-06,441,95,346
2020-02-07,420,101,319
2020-02-08,403,95,308
2020-02-09,379,83,296
2020-02-10,386,95,291
2020-02-11,334,80,254
2020-02-12,338,89,249
2020-02-13,358,85,273
2020-02-14,317,83,234
2020-02-15,305,76,229
2020-02-16,315,95,220
2020-02-17,284,72,212
2020-02-18,278,78,200
2020-02-19,309,74,235
2020-02-20,310,83,227
2020-02-21,294,74,220
2020-02-22,267,66,201
2020-02-23,289,74,215
2020-02-24,297,85,212
2020-02-25,313,85,228
2020-02-26,343,83,260
2020-02-27,292,80,212
2020-02-28,300,82,218
2020-02-29,284,72,212
2020-03-01,263,74,189
2020-03-02,289,80,209
2020-03-03,244,68,176
2020-03-04,240,70,170
2020-03-05,216,68,148
2020-03-06,238,70,168
2020-03-07,143,,143
2020-03-08,181,66,115
2020-03-09,231,72,159
2020-03-10,210,66,144
2020-03-11,199,74,125
2020-03-12,189,63,126
2020-03-13,206,68,138
2020-03-14,200,70,130
2020-03-15,178,68,110
2020-03-16,193,72,121
2020-03-17,175,63,112
2020-03-18,174,68,106
2020-03-19,170,64,106
2020-03-20,167,57,110
2020-03-21,158,61,97
2020-03-22,106,,106
2020-03-23,157,57,100
2020-03-24,160,61,99
2020-03-25,158,59,99
2020-03-26,150,70,80
2020-03-27,152,72,80
2020-03-28,153,57,96
2020-03-29,159,59,100
2020-03-30,153,64,89
2020-03-31,154,57,97
2020-04-01,170,68,102
