日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,60,,60
2019-12-20,,,
2019-12-21,114,57,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,58,,58
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,65,,65
2020-01-21,216,78,138
2020-01-22,306,85,221
2020-01-23,421,83,338
2020-01-24,299,87,212
2020-01-25,359,74,285
2020-01-26,409,78,331
2020-01-27,361,80,281
2020-01-28,311,82,229
2020-01-29,277,82,195
2020-01-30,300,82,218
2020-01-31,299,91,208
2020-02-01,274,70,204
2020-02-02,271,76,195
2020-02-03,296,97,199
2020-02-04,253,74,179
2020-02-05,277,74,203
2020-02-06,250,76,174
2020-02-07,279,76,203
2020-02-08,273,80,193
2020-02-09,249,78,171
2020-02-10,252,72,180
2020-02-11,213,68,145
2020-02-12,249,63,186
2020-02-13,254,80,174
2020-02-14,233,59,174
2020-02-15,225,70,155
2020-02-16,215,76,139
2020-02-17,204,70,134
2020-02-18,213,68,145
2020-02-19,206,59,147
2020-02-20,213,72,141
2020-02-21,185,64,121
2020-02-22,131,,131
2020-02-23,182,61,121
2020-02-24,189,68,121
2020-02-25,193,59,134
2020-02-26,196,74,122
2020-02-27,202,72,130
2020-02-28,189,68,121
2020-02-29,173,61,112
2020-03-01,151,64,87
2020-03-02,159,59,100
2020-03-03,174,64,110
2020-03-04,167,63,104
2020-03-05,168,63,105
2020-03-06,164,64,100
2020-03-07,151,59,92
2020-03-08,92,,92
2020-03-09,155,68,87
2020-03-10,154,59,95
2020-03-11,142,59,83
2020-03-12,146,57,89
2020-03-13,153,57,96
2020-03-14,141,59,82
2020-03-15,141,59,82
2020-03-16,144,61,83
2020-03-17,172,76,96
2020-03-18,137,61,76
2020-03-19,143,57,86
2020-03-20,146,63,83
2020-03-21,135,61,74
2020-03-22,128,57,71
2020-03-23,131,57,74
2020-03-24,131,61,70
2020-03-25,137,63,74
2020-03-26,133,57,76
2020-03-27,138,59,79
2020-03-28,70,,70
2020-03-29,74,,74
2020-03-30,132,61,71
2020-03-31,67,,67
2020-04-01,74,,74
