日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,59,59,
2019-12-04,,,
2019-12-05,58,,58
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,60,,60
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,118,57,61
2020-01-21,195,64,131
2020-01-22,299,87,212
2020-01-23,455,97,358
2020-01-24,318,83,235
2020-01-25,449,93,356
2020-01-26,476,102,374
2020-01-27,393,97,296
2020-01-28,362,82,280
2020-01-29,301,82,219
2020-01-30,330,80,250
2020-01-31,379,99,280
2020-02-01,375,104,271
2020-02-02,342,89,253
2020-02-03,332,83,249
2020-02-04,303,74,229
2020-02-05,313,82,231
2020-02-06,321,89,232
2020-02-07,343,83,260
2020-02-08,319,80,239
2020-02-09,304,102,202
2020-02-10,301,112,189
2020-02-11,288,87,201
2020-02-12,275,72,203
2020-02-13,271,78,193
2020-02-14,294,76,218
2020-02-15,294,70,224
2020-02-16,277,72,205
2020-02-17,282,70,212
2020-02-18,259,80,179
2020-02-19,264,83,181
2020-02-20,266,83,183
2020-02-21,256,76,180
2020-02-22,253,66,187
2020-02-23,246,68,178
2020-02-24,258,72,186
2020-02-25,297,72,225
2020-02-26,278,63,215
2020-02-27,257,70,187
2020-02-28,262,72,190
2020-02-29,244,70,174
2020-03-01,211,59,152
2020-03-02,230,64,166
2020-03-03,200,61,139
2020-03-04,200,66,134
2020-03-05,202,63,139
2020-03-06,175,57,118
2020-03-07,176,59,117
2020-03-08,192,70,122
2020-03-09,186,68,118
2020-03-10,172,57,115
2020-03-11,176,61,115
2020-03-12,153,57,96
2020-03-13,151,59,92
2020-03-14,182,70,112
2020-03-15,171,59,112
2020-03-16,173,63,110
2020-03-17,185,64,121
2020-03-18,185,68,117
2020-03-19,189,63,126
2020-03-20,166,66,100
2020-03-21,148,57,91
2020-03-22,78,,78
2020-03-23,154,63,91
2020-03-24,141,59,82
2020-03-25,143,57,86
2020-03-26,133,59,74
2020-03-27,139,57,82
2020-03-28,146,59,87
2020-03-29,140,66,74
2020-03-30,142,63,79
2020-03-31,136,57,79
2020-04-01,69,,69
