日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,115,57,58
2020-01-21,137,63,74
2020-01-22,184,59,125
2020-01-23,224,64,160
2020-01-24,189,70,119
2020-01-25,237,78,159
2020-01-26,242,72,170
2020-01-27,210,63,147
2020-01-28,169,64,105
2020-01-29,198,63,135
2020-01-30,212,82,130
2020-01-31,201,66,135
2020-02-01,214,80,134
2020-02-02,202,66,136
2020-02-03,206,70,136
2020-02-04,191,78,113
2020-02-05,185,70,115
2020-02-06,181,72,109
2020-02-07,199,76,123
2020-02-08,183,70,113
2020-02-09,187,64,123
2020-02-10,165,63,102
2020-02-11,160,68,92
2020-02-12,140,57,83
2020-02-13,166,61,105
2020-02-14,155,63,92
2020-02-15,91,,91
2020-02-16,174,64,110
2020-02-17,142,59,83
2020-02-18,143,61,82
2020-02-19,148,61,87
2020-02-20,141,61,80
2020-02-21,148,61,87
2020-02-22,145,63,82
2020-02-23,135,59,76
2020-02-24,144,57,87
2020-02-25,157,70,87
2020-02-26,150,64,86
2020-02-27,155,66,89
2020-02-28,155,63,92
2020-02-29,140,64,76
2020-03-01,165,63,102
2020-03-02,130,59,71
2020-03-03,138,59,79
2020-03-04,137,61,76
2020-03-05,130,57,73
2020-03-06,130,61,69
2020-03-07,135,59,76
2020-03-08,137,63,74
2020-03-09,127,61,66
2020-03-10,127,61,66
2020-03-11,133,63,70
2020-03-12,71,,71
2020-03-13,126,61,65
2020-03-14,122,61,61
2020-03-15,117,59,58
2020-03-16,124,61,63
2020-03-17,122,57,65
2020-03-18,124,61,63
2020-03-19,121,61,60
2020-03-20,124,61,63
2020-03-21,57,,57
2020-03-22,57,,57
2020-03-23,124,59,65
2020-03-24,122,59,63
2020-03-25,130,64,66
2020-03-26,61,,61
2020-03-27,120,57,63
2020-03-28,120,57,63
2020-03-29,57,57,
2020-03-30,126,61,65
2020-03-31,130,61,69
2020-04-01,118,57,61
