日期,全部,pc,移动
2019-12-01,67,,67
2019-12-02,76,,76
2019-12-03,128,61,67
2019-12-04,135,61,74
2019-12-05,79,,79
2019-12-06,61,,61
2019-12-07,73,,73
2019-12-08,73,,73
2019-12-09,66,,66
2019-12-10,123,57,66
2019-12-11,130,57,73
2019-12-12,71,,71
2019-12-13,67,,67
2019-12-14,124,57,67
2019-12-15,65,,65
2019-12-16,71,,71
2019-12-17,61,,61
2019-12-18,130,57,73
2019-12-19,63,,63
2019-12-20,122,59,63
2019-12-21,70,,70
2019-12-22,66,,66
2019-12-23,115,57,58
2019-12-24,60,,60
2019-12-25,124,57,67
2019-12-26,66,,66
2019-12-27,60,,60
2019-12-28,58,,58
2019-12-29,65,,65
2019-12-30,63,,63
2019-12-31,57,,57
2020-01-01,61,,61
2020-01-02,58,,58
2020-01-03,125,59,66
2020-01-04,66,,66
2020-01-05,57,,57
2020-01-06,65,,65
2020-01-07,66,,66
2020-01-08,67,,67
2020-01-09,58,,58
2020-01-10,67,,67
2020-01-11,63,,63
2020-01-12,66,,66
2020-01-13,60,,60
2020-01-14,63,,63
2020-01-15,117,57,60
2020-01-16,115,57,58
2020-01-17,,,
2020-01-18,60,,60
2020-01-19,60,,60
2020-01-20,165,63,102
2020-01-21,386,91,295
2020-01-22,982,129,853
2020-01-23,1787,234,1553
2020-01-24,1113,142,971
2020-01-25,1099,155,944
2020-01-26,1175,179,996
2020-01-27,1097,176,921
2020-01-28,1040,170,870
2020-01-29,876,172,704
2020-01-30,804,169,635
2020-01-31,731,142,589
2020-02-01,668,139,529
2020-02-02,652,165,487
2020-02-03,642,135,507
2020-02-04,585,137,448
2020-02-05,537,129,408
2020-02-06,635,142,493
2020-02-07,587,148,439
2020-02-08,522,110,412
2020-02-09,516,144,372
2020-02-10,432,108,324
2020-02-11,393,101,292
2020-02-12,397,112,285
2020-02-13,387,102,285
2020-02-14,442,112,330
2020-02-15,377,95,282
2020-02-16,344,87,257
2020-02-17,363,101,262
2020-02-18,356,101,255
2020-02-19,353,99,254
2020-02-20,335,99,236
2020-02-21,334,87,247
2020-02-22,348,102,246
2020-02-23,350,93,257
2020-02-24,342,83,259
2020-02-25,331,83,248
2020-02-26,446,106,340
2020-02-27,363,93,270
2020-02-28,391,110,281
2020-02-29,381,89,292
2020-03-01,393,99,294
2020-03-02,368,106,262
2020-03-03,373,85,288
2020-03-04,376,91,285
2020-03-05,389,93,296
2020-03-06,365,91,274
2020-03-07,340,85,255
2020-03-08,311,76,235
2020-03-09,346,93,253
2020-03-10,379,97,282
2020-03-11,360,82,278
2020-03-12,362,78,284
2020-03-13,434,104,330
2020-03-14,492,93,399
2020-03-15,375,95,280
2020-03-16,408,99,309
2020-03-17,349,99,250
2020-03-18,349,99,250
2020-03-19,323,82,241
2020-03-20,323,104,219
2020-03-21,349,64,285
2020-03-22,327,59,268
2020-03-23,312,87,225
2020-03-24,261,68,193
2020-03-25,282,83,199
2020-03-26,295,87,208
2020-03-27,230,72,158
2020-03-28,238,64,174
2020-03-29,278,72,206
2020-03-30,326,102,224
2020-03-31,324,129,195
2020-04-01,313,123,190
