日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,59,59,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,58,,58
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,129,59,70
2020-01-22,157,57,100
2020-01-23,219,61,158
2020-01-24,217,63,154
2020-01-25,201,57,144
2020-01-26,212,61,151
2020-01-27,182,61,121
2020-01-28,169,70,99
2020-01-29,150,61,89
2020-01-30,154,59,95
2020-01-31,146,57,89
2020-02-01,80,,80
2020-02-02,145,59,86
2020-02-03,139,61,78
2020-02-04,135,59,76
2020-02-05,137,57,80
2020-02-06,139,63,76
2020-02-07,126,59,67
2020-02-08,135,64,71
2020-02-09,123,57,66
2020-02-10,125,59,66
2020-02-11,69,,69
2020-02-12,126,57,69
2020-02-13,130,61,69
2020-02-14,137,63,74
2020-02-15,73,,73
2020-02-16,65,,65
2020-02-17,123,57,66
2020-02-18,130,57,73
2020-02-19,61,,61
2020-02-20,120,57,63
2020-02-21,69,,69
2020-02-22,120,57,63
2020-02-23,122,59,63
2020-02-24,60,,60
2020-02-25,122,59,63
2020-02-26,61,,61
2020-02-27,65,,65
2020-02-28,70,,70
2020-02-29,126,57,69
2020-03-01,126,59,67
2020-03-02,123,57,66
2020-03-03,71,,71
2020-03-04,135,59,76
2020-03-05,83,,83
2020-03-06,120,59,61
2020-03-07,135,57,78
2020-03-08,69,,69
2020-03-09,65,,65
2020-03-10,120,57,63
2020-03-11,120,57,63
2020-03-12,124,57,67
2020-03-13,126,57,69
2020-03-14,126,57,69
2020-03-15,124,59,65
2020-03-16,126,57,69
2020-03-17,125,59,66
2020-03-18,61,,61
2020-03-19,76,,76
2020-03-20,124,57,67
2020-03-21,89,,89
2020-03-22,74,,74
2020-03-23,125,59,66
2020-03-24,67,,67
2020-03-25,65,,65
2020-03-26,65,,65
2020-03-27,115,57,58
2020-03-28,67,,67
2020-03-29,117,57,60
2020-03-30,117,57,60
2020-03-31,123,57,66
2020-04-01,71,,71
