日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,57,57,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,76,,76
2020-01-22,167,59,108
2020-01-23,287,70,217
2020-01-24,237,61,176
2020-01-25,242,68,174
2020-01-26,251,61,190
2020-01-27,233,63,170
2020-01-28,204,61,143
2020-01-29,165,66,99
2020-01-30,167,61,106
2020-01-31,156,61,95
2020-02-01,165,63,102
2020-02-02,162,63,99
2020-02-03,170,68,102
2020-02-04,154,61,93
2020-02-05,140,61,79
2020-02-06,153,57,96
2020-02-07,141,63,78
2020-02-08,150,59,91
2020-02-09,131,57,74
2020-02-10,154,57,97
2020-02-11,138,59,79
2020-02-12,117,57,60
2020-02-13,146,64,82
2020-02-14,131,57,74
2020-02-15,82,,82
2020-02-16,124,59,65
2020-02-17,133,59,74
2020-02-18,131,64,67
2020-02-19,134,63,71
2020-02-20,133,57,76
2020-02-21,125,59,66
2020-02-22,136,66,70
2020-02-23,122,57,65
2020-02-24,79,,79
2020-02-25,127,57,70
2020-02-26,143,59,84
2020-02-27,136,57,79
2020-02-28,150,61,89
2020-02-29,128,57,71
2020-03-01,136,63,73
2020-03-02,133,64,69
2020-03-03,150,61,89
2020-03-04,146,59,87
2020-03-05,131,57,74
2020-03-06,124,57,67
2020-03-07,65,,65
2020-03-08,137,59,78
2020-03-09,127,57,70
2020-03-10,137,57,80
2020-03-11,146,57,89
2020-03-12,76,,76
2020-03-13,135,57,78
2020-03-14,142,59,83
2020-03-15,135,57,78
2020-03-16,128,59,69
2020-03-17,128,59,69
2020-03-18,133,59,74
2020-03-19,60,,60
2020-03-20,128,59,69
2020-03-21,128,57,71
2020-03-22,67,,67
2020-03-23,132,59,73
2020-03-24,57,,57
2020-03-25,60,,60
2020-03-26,117,57,60
2020-03-27,122,61,61
2020-03-28,61,,61
2020-03-29,137,57,80
2020-03-30,126,57,69
2020-03-31,61,,61
2020-04-01,120,59,61
