日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,63,,63
2020-01-22,76,,76
2020-01-23,204,63,141
2020-01-24,162,57,105
2020-01-25,154,57,97
2020-01-26,161,61,100
2020-01-27,167,57,110
2020-01-28,136,63,73
2020-01-29,78,,78
2020-01-30,70,,70
2020-01-31,124,57,67
2020-02-01,67,,67
2020-02-02,139,63,76
2020-02-03,132,59,73
2020-02-04,74,,74
2020-02-05,125,59,66
2020-02-06,124,57,67
2020-02-07,67,,67
2020-02-08,67,,67
2020-02-09,126,59,67
2020-02-10,61,,61
2020-02-11,60,,60
2020-02-12,61,,61
2020-02-13,60,,60
2020-02-14,65,,65
2020-02-15,63,,63
2020-02-16,125,59,66
2020-02-17,63,,63
2020-02-18,57,,57
2020-02-19,63,,63
2020-02-20,57,,57
2020-02-21,60,,60
2020-02-22,60,,60
2020-02-23,58,,58
2020-02-24,65,,65
2020-02-25,57,,57
2020-02-26,63,,63
2020-02-27,115,57,58
2020-02-28,61,,61
2020-02-29,60,,60
2020-03-01,120,59,61
2020-03-02,117,57,60
2020-03-03,58,,58
2020-03-04,67,,67
2020-03-05,67,,67
2020-03-06,127,57,70
2020-03-07,65,,65
2020-03-08,57,,57
2020-03-09,120,57,63
2020-03-10,57,,57
2020-03-11,60,,60
2020-03-12,117,57,60
2020-03-13,63,,63
2020-03-14,63,,63
2020-03-15,61,,61
2020-03-16,128,57,71
2020-03-17,61,,61
2020-03-18,58,,58
2020-03-19,61,,61
2020-03-20,123,57,66
2020-03-21,58,,58
2020-03-22,61,,61
2020-03-23,58,,58
2020-03-24,58,,58
2020-03-25,63,,63
2020-03-26,118,57,61
2020-03-27,,,
2020-03-28,57,,57
2020-03-29,,,
2020-03-30,60,,60
2020-03-31,58,,58
2020-04-01,58,,58
