日期,全部,pc,移动
2019-12-01,229,59,170
2019-12-02,207,72,135
2019-12-03,243,76,167
2019-12-04,218,74,144
2019-12-05,217,76,141
2019-12-06,205,66,139
2019-12-07,213,66,147
2019-12-08,247,68,179
2019-12-09,228,76,152
2019-12-10,223,78,145
2019-12-11,223,80,143
2019-12-12,216,68,148
2019-12-13,200,61,139
2019-12-14,214,63,151
2019-12-15,206,61,145
2019-12-16,200,72,128
2019-12-17,213,66,147
2019-12-18,207,68,139
2019-12-19,185,63,122
2019-12-20,207,68,139
2019-12-21,186,64,122
2019-12-22,179,66,113
2019-12-23,195,85,110
2019-12-24,200,72,128
2019-12-25,195,74,121
2019-12-26,194,68,126
2019-12-27,167,63,104
2019-12-28,195,63,132
2019-12-29,194,59,135
2019-12-30,213,68,145
2019-12-31,235,80,155
2020-01-01,178,57,121
2020-01-02,198,64,134
2020-01-03,224,72,152
2020-01-04,195,61,134
2020-01-05,209,68,141
2020-01-06,202,64,138
2020-01-07,224,63,161
2020-01-08,217,78,139
2020-01-09,216,72,144
2020-01-10,189,68,121
2020-01-11,194,66,128
2020-01-12,190,59,131
2020-01-13,190,78,112
2020-01-14,176,70,106
2020-01-15,174,74,100
2020-01-16,173,78,95
2020-01-17,176,68,108
2020-01-18,178,59,119
2020-01-19,265,97,168
2020-01-20,1320,447,873
2020-01-21,4541,990,3551
2020-01-22,8739,1306,7433
2020-01-23,13325,1193,12132
2020-01-24,7560,880,6680
2020-01-25,7013,887,6126
2020-01-26,8128,920,7208
2020-01-27,6790,925,5865
2020-01-28,5900,919,4981
2020-01-29,5023,914,4109
2020-01-30,4671,885,3786
2020-01-31,4747,919,3828
2020-02-01,4561,939,3622
2020-02-02,4679,959,3720
2020-02-03,4754,993,3761
2020-02-04,4693,975,3718
2020-02-05,5046,1004,4042
2020-02-06,5087,1075,4012
2020-02-07,4950,980,3970
2020-02-08,4754,936,3818
2020-02-09,4262,912,3350
2020-02-10,4041,999,3042
2020-02-11,3872,962,2910
2020-02-12,3561,932,2629
2020-02-13,3695,933,2762
2020-02-14,3715,909,2806
2020-02-15,3107,861,2246
2020-02-16,3015,837,2178
2020-02-17,3047,901,2146
2020-02-18,2952,904,2048
2020-02-19,2964,884,2080
2020-02-20,2908,864,2044
2020-02-21,2880,874,2006
2020-02-22,2656,720,1936
2020-02-23,2448,617,1831
2020-02-24,2804,883,1921
2020-02-25,2997,888,2109
2020-02-26,3128,918,2210
2020-02-27,2950,919,2031
2020-02-28,2967,896,2071
2020-02-29,2863,786,2077
2020-03-01,2520,651,1869
2020-03-02,2743,931,1812
2020-03-03,2580,819,1761
2020-03-04,2500,860,1640
2020-03-05,2353,852,1501
2020-03-06,2358,856,1502
2020-03-07,1998,617,1381
2020-03-08,1726,447,1279
2020-03-09,2199,852,1347
2020-03-10,2275,868,1407
2020-03-11,2047,735,1312
2020-03-12,1957,752,1205
2020-03-13,1953,820,1133
2020-03-14,1555,490,1065
2020-03-15,1357,372,985
2020-03-16,1836,789,1047
2020-03-17,1887,854,1033
2020-03-18,1786,797,989
2020-03-19,1538,575,963
2020-03-20,1577,647,930
2020-03-21,1287,327,960
2020-03-22,1071,114,957
2020-03-23,1545,597,948
2020-03-24,1301,355,946
2020-03-25,1629,644,985
2020-03-26,1821,620,1201
2020-03-27,1543,495,1048
2020-03-28,1469,349,1120
2020-03-29,1648,378,1270
2020-03-30,2067,777,1290
2020-03-31,1736,549,1187
2020-04-01,1702,564,1138
