日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,58,,58
2019-12-03,57,,57
2019-12-04,57,,57
2019-12-05,58,,58
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,60,,60
2019-12-09,60,,60
2019-12-10,58,,58
2019-12-11,57,57,
2019-12-12,,,
2019-12-13,60,,60
2019-12-14,58,,58
2019-12-15,,,
2019-12-16,60,,60
2019-12-17,57,,57
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,58,,58
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,58,,58
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,57,
2020-01-04,58,,58
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,63,,63
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,122,59,63
2020-01-21,239,80,159
2020-01-22,406,97,309
2020-01-23,634,87,547
2020-01-24,456,93,363
2020-01-25,566,101,465
2020-01-26,605,95,510
2020-01-27,478,101,377
2020-01-28,421,91,330
2020-01-29,369,89,280
2020-01-30,320,78,242
2020-01-31,347,83,264
2020-02-01,348,91,257
2020-02-02,334,99,235
2020-02-03,399,125,274
2020-02-04,373,95,278
2020-02-05,397,95,302
2020-02-06,387,95,292
2020-02-07,416,114,302
2020-02-08,378,91,287
2020-02-09,367,101,266
2020-02-10,305,97,208
2020-02-11,304,95,209
2020-02-12,293,93,200
2020-02-13,283,74,209
2020-02-14,297,85,212
2020-02-15,265,76,189
2020-02-16,251,66,185
2020-02-17,311,91,220
2020-02-18,288,83,205
2020-02-19,296,74,222
2020-02-20,299,82,217
2020-02-21,288,76,212
2020-02-22,274,70,204
2020-02-23,236,74,162
2020-02-24,277,74,203
2020-02-25,294,82,212
2020-02-26,285,85,200
2020-02-27,296,85,211
2020-02-28,281,83,198
2020-02-29,274,76,198
2020-03-01,271,82,189
2020-03-02,248,83,165
2020-03-03,250,76,174
2020-03-04,249,78,171
2020-03-05,227,76,151
2020-03-06,208,74,134
2020-03-07,197,78,119
2020-03-08,211,59,152
2020-03-09,195,72,123
2020-03-10,203,78,125
2020-03-11,206,68,138
2020-03-12,189,70,119
2020-03-13,183,66,117
2020-03-14,168,66,102
2020-03-15,163,68,95
2020-03-16,157,64,93
2020-03-17,186,76,110
2020-03-18,168,63,105
2020-03-19,167,70,97
2020-03-20,176,70,106
2020-03-21,89,,89
2020-03-22,106,,106
2020-03-23,131,61,70
2020-03-24,102,,102
2020-03-25,174,68,106
2020-03-26,154,57,97
2020-03-27,178,76,102
2020-03-28,169,59,110
2020-03-29,171,59,112
2020-03-30,175,63,112
2020-03-31,172,63,109
2020-04-01,170,64,106
