日期,全部,pc,移动
2019-12-01,65,,65
2019-12-02,,,
2019-12-03,65,,65
2019-12-04,57,,57
2019-12-05,115,57,58
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,69,,69
2019-12-09,115,57,58
2019-12-10,122,59,63
2019-12-11,123,57,66
2019-12-12,121,61,60
2019-12-13,57,,57
2019-12-14,57,,57
2019-12-15,58,,58
2019-12-16,115,57,58
2019-12-17,58,,58
2019-12-18,61,,61
2019-12-19,57,,57
2019-12-20,114,57,57
2019-12-21,,,
2019-12-22,60,,60
2019-12-23,117,57,60
2019-12-24,114,57,57
2019-12-25,118,61,57
2019-12-26,117,57,60
2019-12-27,58,,58
2019-12-28,57,,57
2019-12-29,66,,66
2019-12-30,114,57,57
2019-12-31,60,,60
2020-01-01,60,,60
2020-01-02,58,,58
2020-01-03,117,57,60
2020-01-04,60,,60
2020-01-05,114,57,57
2020-01-06,,,
2020-01-07,122,59,63
2020-01-08,58,,58
2020-01-09,58,,58
2020-01-10,61,,61
2020-01-11,58,,58
2020-01-12,117,57,60
2020-01-13,57,57,
2020-01-14,,,
2020-01-15,116,59,57
2020-01-16,61,,61
2020-01-17,58,,58
2020-01-18,,,
2020-01-19,117,59,58
2020-01-20,175,66,109
2020-01-21,520,139,381
2020-01-22,981,172,809
2020-01-23,1164,200,964
2020-01-24,1005,154,851
2020-01-25,966,159,807
2020-01-26,861,139,722
2020-01-27,682,142,540
2020-01-28,629,123,506
2020-01-29,549,131,418
2020-01-30,540,146,394
2020-01-31,536,152,384
2020-02-01,544,158,386
2020-02-02,536,137,399
2020-02-03,605,175,430
2020-02-04,528,148,380
2020-02-05,584,172,412
2020-02-06,629,169,460
2020-02-07,582,166,416
2020-02-08,555,158,397
2020-02-09,518,139,379
2020-02-10,476,146,330
2020-02-11,516,175,341
2020-02-12,426,146,280
2020-02-13,456,158,298
2020-02-14,446,131,315
2020-02-15,354,116,238
2020-02-16,393,127,266
2020-02-17,387,118,269
2020-02-18,435,169,266
2020-02-19,367,120,247
2020-02-20,378,139,239
2020-02-21,373,102,271
2020-02-22,340,104,236
2020-02-23,314,99,215
2020-02-24,398,139,259
2020-02-25,406,129,277
2020-02-26,430,148,282
2020-02-27,408,155,253
2020-02-28,405,151,254
2020-02-29,398,135,263
2020-03-01,389,116,273
2020-03-02,436,180,256
2020-03-03,360,118,242
2020-03-04,409,162,247
2020-03-05,361,144,217
2020-03-06,342,140,202
2020-03-07,339,120,219
2020-03-08,307,85,222
2020-03-09,338,133,205
2020-03-10,366,157,209
2020-03-11,337,125,212
2020-03-12,323,137,186
2020-03-13,324,135,189
2020-03-14,284,91,193
2020-03-15,244,85,159
2020-03-16,369,155,214
2020-03-17,316,150,166
2020-03-18,306,142,164
2020-03-19,271,120,151
2020-03-20,318,133,185
2020-03-21,250,87,163
2020-03-22,232,61,171
2020-03-23,284,106,178
2020-03-24,240,78,162
2020-03-25,285,106,179
2020-03-26,315,114,201
2020-03-27,311,89,222
2020-03-28,335,101,234
2020-03-29,334,95,239
2020-03-30,422,155,267
2020-03-31,398,121,277
2020-04-01,392,118,274
