日期,全部,pc,移动
2019-12-01,67,,67
2019-12-02,60,,60
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,57,,57
2019-12-06,57,,57
2019-12-07,58,,58
2019-12-08,58,,58
2019-12-09,61,,61
2019-12-10,60,,60
2019-12-11,114,57,57
2019-12-12,59,59,
2019-12-13,61,,61
2019-12-14,58,,58
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,117,57,60
2019-12-18,,,
2019-12-19,114,57,57
2019-12-20,,,
2019-12-21,57,57,
2019-12-22,57,,57
2019-12-23,119,61,58
2019-12-24,57,,57
2019-12-25,61,,61
2019-12-26,126,61,65
2019-12-27,57,,57
2019-12-28,115,57,58
2019-12-29,60,,60
2019-12-30,63,,63
2019-12-31,,,
2020-01-01,58,,58
2020-01-02,58,,58
2020-01-03,57,57,
2020-01-04,60,,60
2020-01-05,60,,60
2020-01-06,61,,61
2020-01-07,57,,57
2020-01-08,57,,57
2020-01-09,58,,58
2020-01-10,57,,57
2020-01-11,116,59,57
2020-01-12,,,
2020-01-13,60,,60
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,142,59,83
2020-01-21,316,85,231
2020-01-22,647,118,529
2020-01-23,1009,146,863
2020-01-24,732,108,624
2020-01-25,720,110,610
2020-01-26,911,104,807
2020-01-27,788,114,674
2020-01-28,716,123,593
2020-01-29,615,125,490
2020-01-30,587,116,471
2020-01-31,583,151,432
2020-02-01,506,102,404
2020-02-02,481,108,373
2020-02-03,547,121,426
2020-02-04,601,148,453
2020-02-05,725,157,568
2020-02-06,707,151,556
2020-02-07,580,114,466
2020-02-08,561,131,430
2020-02-09,487,108,379
2020-02-10,516,139,377
2020-02-11,438,108,330
2020-02-12,398,121,277
2020-02-13,476,125,351
2020-02-14,464,112,352
2020-02-15,386,101,285
2020-02-16,399,93,306
2020-02-17,383,102,281
2020-02-18,357,104,253
2020-02-19,363,110,253
2020-02-20,357,108,249
2020-02-21,324,99,225
2020-02-22,334,87,247
2020-02-23,299,82,217
2020-02-24,318,106,212
2020-02-25,311,108,203
2020-02-26,303,91,212
2020-02-27,307,112,195
2020-02-28,303,91,212
2020-02-29,270,80,190
2020-03-01,270,91,179
2020-03-02,265,68,197
2020-03-03,241,78,163
2020-03-04,270,102,168
2020-03-05,252,85,167
2020-03-06,249,85,164
2020-03-07,259,83,176
2020-03-08,235,78,157
2020-03-09,227,76,151
2020-03-10,247,89,158
2020-03-11,227,72,155
2020-03-12,222,74,148
2020-03-13,219,83,136
2020-03-14,198,72,126
2020-03-15,183,66,117
2020-03-16,186,61,125
2020-03-17,232,87,145
2020-03-18,184,82,102
2020-03-19,185,76,109
2020-03-20,188,76,112
2020-03-21,168,59,109
2020-03-22,168,59,109
2020-03-23,187,70,117
2020-03-24,170,68,102
2020-03-25,184,72,112
2020-03-26,196,78,118
2020-03-27,183,70,113
2020-03-28,198,66,132
2020-03-29,230,70,160
2020-03-30,217,74,143
2020-03-31,180,61,119
2020-04-01,183,74,109
