日期,全部,pc,移动
2019-12-01,74,,74
2019-12-02,141,59,82
2019-12-03,150,63,87
2019-12-04,141,63,78
2019-12-05,140,61,79
2019-12-06,135,59,76
2019-12-07,131,57,74
2019-12-08,145,61,84
2019-12-09,132,59,73
2019-12-10,143,64,79
2019-12-11,139,57,82
2019-12-12,76,,76
2019-12-13,129,59,70
2019-12-14,139,61,78
2019-12-15,127,57,70
2019-12-16,143,59,84
2019-12-17,130,59,71
2019-12-18,138,59,79
2019-12-19,79,,79
2019-12-20,139,61,78
2019-12-21,76,,76
2019-12-22,130,57,73
2019-12-23,123,63,60
2019-12-24,132,59,73
2019-12-25,127,57,70
2019-12-26,124,57,67
2019-12-27,70,,70
2019-12-28,130,57,73
2019-12-29,135,57,78
2019-12-30,141,59,82
2019-12-31,150,59,91
2020-01-01,78,,78
2020-01-02,130,57,73
2020-01-03,139,57,82
2020-01-04,127,57,70
2020-01-05,135,57,78
2020-01-06,138,59,79
2020-01-07,83,,83
2020-01-08,137,64,73
2020-01-09,131,64,67
2020-01-10,125,59,66
2020-01-11,146,59,87
2020-01-12,73,,73
2020-01-13,127,66,61
2020-01-14,139,63,76
2020-01-15,130,59,71
2020-01-16,124,64,60
2020-01-17,127,61,66
2020-01-18,76,,76
2020-01-19,170,66,104
2020-01-20,558,200,358
2020-01-21,1679,541,1138
2020-01-22,2683,588,2095
2020-01-23,3843,580,3263
2020-01-24,1950,281,1669
2020-01-25,1679,253,1426
2020-01-26,1836,302,1534
2020-01-27,1669,307,1362
2020-01-28,1508,312,1196
2020-01-29,1389,323,1066
2020-01-30,1268,295,973
2020-01-31,1318,330,988
2020-02-01,1316,349,967
2020-02-02,1326,346,980
2020-02-03,1425,433,992
2020-02-04,1419,430,989
2020-02-05,1429,436,993
2020-02-06,1524,506,1018
2020-02-07,1512,459,1053
2020-02-08,1353,355,998
2020-02-09,1337,357,980
2020-02-10,1471,529,942
2020-02-11,1403,479,924
2020-02-12,1267,375,892
2020-02-13,1290,389,901
2020-02-14,1310,399,911
2020-02-15,1145,276,869
2020-02-16,1110,265,845
2020-02-17,1252,386,866
2020-02-18,1253,406,847
2020-02-19,1203,358,845
2020-02-20,1194,335,859
2020-02-21,1179,336,843
2020-02-22,1099,253,846
2020-02-23,999,215,784
2020-02-24,1167,360,807
2020-02-25,1215,357,858
2020-02-26,1247,392,855
2020-02-27,1206,363,843
2020-02-28,1246,399,847
2020-02-29,1104,251,853
2020-03-01,1044,212,832
2020-03-02,1234,416,818
2020-03-03,1099,295,804
2020-03-04,1065,321,744
2020-03-05,969,293,676
2020-03-06,996,329,667
2020-03-07,854,190,664
2020-03-08,763,179,584
2020-03-09,962,295,667
2020-03-10,1036,324,712
2020-03-11,916,267,649
2020-03-12,849,259,590
2020-03-13,816,262,554
2020-03-14,698,194,504
2020-03-15,653,161,492
2020-03-16,770,264,506
2020-03-17,825,310,515
2020-03-18,729,268,461
2020-03-19,664,207,457
2020-03-20,591,215,376
2020-03-21,610,159,451
2020-03-22,486,59,427
2020-03-23,639,205,434
2020-03-24,578,166,412
2020-03-25,712,260,452
2020-03-26,692,194,498
2020-03-27,662,190,472
2020-03-28,651,151,500
2020-03-29,713,152,561
2020-03-30,898,296,602
2020-03-31,802,198,604
2020-04-01,821,237,584
