日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,60,,60
2019-12-06,58,,58
2019-12-07,120,57,63
2019-12-08,61,,61
2019-12-09,59,59,
2019-12-10,57,,57
2019-12-11,57,57,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,114,57,57
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,58,,58
2019-12-20,114,57,57
2019-12-21,,,
2019-12-22,60,,60
2019-12-23,57,57,
2019-12-24,61,,61
2019-12-25,57,,57
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,114,57,57
2019-12-29,,,
2019-12-30,60,,60
2019-12-31,58,,58
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,63,,63
2020-01-04,61,,61
2020-01-05,57,,57
2020-01-06,58,,58
2020-01-07,58,,58
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,58,,58
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,146,59,87
2020-01-21,267,72,195
2020-01-22,506,112,394
2020-01-23,915,135,780
2020-01-24,647,104,543
2020-01-25,616,104,512
2020-01-26,706,110,596
2020-01-27,648,150,498
2020-01-28,502,142,360
2020-01-29,394,89,305
2020-01-30,385,97,288
2020-01-31,371,87,284
2020-02-01,407,118,289
2020-02-02,411,120,291
2020-02-03,423,146,277
2020-02-04,429,120,309
2020-02-05,415,112,303
2020-02-06,447,127,320
2020-02-07,417,114,303
2020-02-08,411,99,312
2020-02-09,339,83,256
2020-02-10,349,118,231
2020-02-11,361,99,262
2020-02-12,309,82,227
2020-02-13,311,87,224
2020-02-14,318,83,235
2020-02-15,266,74,192
2020-02-16,261,83,178
2020-02-17,297,89,208
2020-02-18,244,74,170
2020-02-19,311,97,214
2020-02-20,283,83,200
2020-02-21,269,80,189
2020-02-22,252,76,176
2020-02-23,254,76,178
2020-02-24,279,80,199
2020-02-25,262,78,184
2020-02-26,296,74,222
2020-02-27,267,74,193
2020-02-28,275,80,195
2020-02-29,271,76,195
2020-03-01,285,70,215
2020-03-02,287,82,205
2020-03-03,289,74,215
2020-03-04,270,74,196
2020-03-05,226,66,160
2020-03-06,260,82,178
2020-03-07,233,70,163
2020-03-08,213,64,149
2020-03-09,281,82,199
2020-03-10,239,76,163
2020-03-11,248,72,176
2020-03-12,219,70,149
2020-03-13,214,82,132
2020-03-14,188,70,118
2020-03-15,187,64,123
2020-03-16,202,80,122
2020-03-17,213,78,135
2020-03-18,229,74,155
2020-03-19,179,61,118
2020-03-20,172,63,109
2020-03-21,159,57,102
2020-03-22,135,,135
2020-03-23,186,64,122
2020-03-24,199,61,138
2020-03-25,185,66,119
2020-03-26,210,72,138
2020-03-27,210,59,151
2020-03-28,199,64,135
2020-03-29,202,63,139
2020-03-30,189,72,117
2020-03-31,219,74,145
2020-04-01,207,72,135
