日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,115,57,58
2019-12-03,57,,57
2019-12-04,115,57,58
2019-12-05,57,57,
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,57,57,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,58,,58
2019-12-12,,,
2019-12-13,60,,60
2019-12-14,,,
2019-12-15,61,,61
2019-12-16,,,
2019-12-17,60,,60
2019-12-18,120,59,61
2019-12-19,,,
2019-12-20,,,
2019-12-21,60,,60
2019-12-22,57,,57
2019-12-23,57,57,
2019-12-24,61,,61
2019-12-25,,,
2019-12-26,57,57,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,61,61,
2020-01-01,57,,57
2020-01-02,57,57,
2020-01-03,115,57,58
2020-01-04,57,,57
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,58,,58
2020-01-10,,,
2020-01-11,,,
2020-01-12,61,,61
2020-01-13,,,
2020-01-14,,,
2020-01-15,59,59,
2020-01-16,,,
2020-01-17,116,59,57
2020-01-18,,,
2020-01-19,119,59,60
2020-01-20,138,64,74
2020-01-21,321,78,243
2020-01-22,546,116,430
2020-01-23,852,140,712
2020-01-24,477,101,376
2020-01-25,459,108,351
2020-01-26,576,112,464
2020-01-27,485,133,352
2020-01-28,488,142,346
2020-01-29,342,110,232
2020-01-30,374,97,277
2020-01-31,398,118,280
2020-02-01,357,89,268
2020-02-02,378,121,257
2020-02-03,418,120,298
2020-02-04,388,108,280
2020-02-05,439,127,312
2020-02-06,430,161,269
2020-02-07,460,120,340
2020-02-08,391,114,277
2020-02-09,379,110,269
2020-02-10,354,135,219
2020-02-11,343,131,212
2020-02-12,317,112,205
2020-02-13,320,95,225
2020-02-14,330,99,231
2020-02-15,270,83,187
2020-02-16,261,91,170
2020-02-17,271,101,170
2020-02-18,259,95,164
2020-02-19,263,89,174
2020-02-20,251,85,166
2020-02-21,242,91,151
2020-02-22,218,74,144
2020-02-23,214,78,136
2020-02-24,218,83,135
2020-02-25,260,102,158
2020-02-26,248,93,155
2020-02-27,270,102,168
2020-02-28,270,91,179
2020-02-29,233,78,155
2020-03-01,230,68,162
2020-03-02,290,120,170
2020-03-03,220,95,125
2020-03-04,198,85,113
2020-03-05,235,91,144
2020-03-06,236,85,151
2020-03-07,217,76,141
2020-03-08,204,70,134
2020-03-09,207,101,106
2020-03-10,216,82,134
2020-03-11,203,68,135
2020-03-12,219,87,132
2020-03-13,184,80,104
2020-03-14,172,66,106
2020-03-15,182,61,121
2020-03-16,188,83,105
2020-03-17,208,87,121
2020-03-18,256,83,173
2020-03-19,160,64,96
2020-03-20,192,83,109
2020-03-21,285,83,202
2020-03-22,212,63,149
2020-03-23,188,89,99
2020-03-24,198,70,128
2020-03-25,193,78,115
2020-03-26,179,70,109
2020-03-27,197,72,125
2020-03-28,268,87,181
2020-03-29,290,93,197
2020-03-30,256,89,167
2020-03-31,238,70,168
2020-04-01,238,74,164
