日期,全部,pc,移动
2019-12-01,167,61,106
2019-12-02,93,,93
2019-12-03,73,,73
2019-12-04,87,,87
2019-12-05,126,59,67
2019-12-06,71,,71
2019-12-07,128,57,71
2019-12-08,82,,82
2019-12-09,79,,79
2019-12-10,139,59,80
2019-12-11,132,61,71
2019-12-12,65,,65
2019-12-13,126,59,67
2019-12-14,128,57,71
2019-12-15,128,57,71
2019-12-16,130,57,73
2019-12-17,60,,60
2019-12-18,136,57,79
2019-12-19,78,,78
2019-12-20,73,,73
2019-12-21,69,,69
2019-12-22,140,57,83
2019-12-23,76,,76
2019-12-24,137,57,80
2019-12-25,79,,79
2019-12-26,136,57,79
2019-12-27,124,57,67
2019-12-28,124,57,67
2019-12-29,66,,66
2019-12-30,76,,76
2019-12-31,137,59,78
2020-01-01,78,,78
2020-01-02,135,59,76
2020-01-03,74,,74
2020-01-04,133,57,76
2020-01-05,69,,69
2020-01-06,126,57,69
2020-01-07,130,59,71
2020-01-08,126,59,67
2020-01-09,128,57,71
2020-01-10,128,63,65
2020-01-11,83,,83
2020-01-12,63,,63
2020-01-13,89,,89
2020-01-14,139,57,82
2020-01-15,131,61,70
2020-01-16,120,59,61
2020-01-17,80,,80
2020-01-18,66,,66
2020-01-19,139,59,80
2020-01-20,392,129,263
2020-01-21,1601,313,1288
2020-01-22,3777,571,3206
2020-01-23,5341,667,4674
2020-01-24,3373,391,2982
2020-01-25,4056,473,3583
2020-01-26,3610,546,3064
2020-01-27,2599,408,2191
2020-01-28,2303,403,1900
2020-01-29,2027,391,1636
2020-01-30,1901,350,1551
2020-01-31,2008,405,1603
2020-02-01,1943,381,1562
2020-02-02,1890,349,1541
2020-02-03,2034,476,1558
2020-02-04,1706,394,1312
2020-02-05,1695,406,1289
2020-02-06,1804,417,1387
2020-02-07,1725,366,1359
2020-02-08,1630,355,1275
2020-02-09,1416,336,1080
2020-02-10,1331,335,996
2020-02-11,1303,324,979
2020-02-12,1229,276,953
2020-02-13,1235,278,957
2020-02-14,1221,271,950
2020-02-15,1165,239,926
2020-02-16,1121,209,912
2020-02-17,1232,267,965
2020-02-18,1178,242,936
2020-02-19,1178,218,960
2020-02-20,1200,234,966
2020-02-21,1250,256,994
2020-02-22,1231,253,978
2020-02-23,1190,219,971
2020-02-24,1223,257,966
2020-02-25,1215,233,982
2020-02-26,1227,250,977
2020-02-27,1265,319,946
2020-02-28,1233,285,948
2020-02-29,1160,222,938
2020-03-01,1139,228,911
2020-03-02,1189,288,901
2020-03-03,1103,225,878
2020-03-04,1069,212,857
2020-03-05,1111,250,861
2020-03-06,993,231,762
2020-03-07,970,205,765
2020-03-08,856,157,699
2020-03-09,854,195,659
2020-03-10,924,201,723
2020-03-11,797,188,609
2020-03-12,800,193,607
2020-03-13,795,204,591
2020-03-14,736,154,582
2020-03-15,661,135,526
2020-03-16,733,182,551
2020-03-17,745,212,533
2020-03-18,713,194,519
2020-03-19,641,168,473
2020-03-20,547,154,393
2020-03-21,512,99,413
2020-03-22,536,72,464
2020-03-23,598,173,425
2020-03-24,544,112,432
2020-03-25,556,161,395
2020-03-26,510,137,373
2020-03-27,542,123,419
2020-03-28,574,78,496
2020-03-29,601,121,480
2020-03-30,581,151,430
2020-03-31,580,125,455
2020-04-01,504,116,388
