日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,58,,58
2019-12-08,58,,58
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,60,,60
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,57,,57
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,58,,58
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,57,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,60,,60
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,57,57,
2020-01-20,142,59,83
2020-01-21,305,78,227
2020-01-22,726,102,624
2020-01-23,995,121,874
2020-01-24,667,104,563
2020-01-25,970,106,864
2020-01-26,944,123,821
2020-01-27,648,112,536
2020-01-28,512,93,419
2020-01-29,445,97,348
2020-01-30,484,91,393
2020-01-31,473,82,391
2020-02-01,464,83,381
2020-02-02,471,102,369
2020-02-03,505,110,395
2020-02-04,384,76,308
2020-02-05,387,89,298
2020-02-06,376,91,285
2020-02-07,333,76,257
2020-02-08,352,78,274
2020-02-09,350,97,253
2020-02-10,329,83,246
2020-02-11,320,91,229
2020-02-12,281,61,220
2020-02-13,281,72,209
2020-02-14,325,89,236
2020-02-15,304,70,234
2020-02-16,270,74,196
2020-02-17,283,66,217
2020-02-18,284,72,212
2020-02-19,294,74,220
2020-02-20,292,64,228
2020-02-21,296,76,220
2020-02-22,294,70,224
2020-02-23,275,74,201
2020-02-24,305,74,231
2020-02-25,287,68,219
2020-02-26,307,85,222
2020-02-27,288,80,208
2020-02-28,300,91,209
2020-02-29,300,82,218
2020-03-01,252,66,186
2020-03-02,285,89,196
2020-03-03,259,82,177
2020-03-04,258,78,180
2020-03-05,242,80,162
2020-03-06,217,66,151
2020-03-07,202,57,145
2020-03-08,197,63,134
2020-03-09,215,64,151
2020-03-10,222,63,159
2020-03-11,192,70,122
2020-03-12,205,64,141
2020-03-13,229,68,161
2020-03-14,194,63,131
2020-03-15,179,66,113
2020-03-16,181,64,117
2020-03-17,175,66,109
2020-03-18,207,66,141
2020-03-19,166,64,102
2020-03-20,157,68,89
2020-03-21,176,61,115
2020-03-22,167,57,110
2020-03-23,167,59,108
2020-03-24,108,,108
2020-03-25,176,68,108
2020-03-26,168,64,104
2020-03-27,193,70,123
2020-03-28,110,,110
2020-03-29,193,63,130
2020-03-30,187,66,121
2020-03-31,117,,117
2020-04-01,179,57,122
