日期,全部,pc,移动
2019-12-01,63,,63
2019-12-02,,,
2019-12-03,,,
2019-12-04,60,,60
2019-12-05,114,57,57
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,57,57,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,58,,58
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,58,,58
2020-01-02,,,
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,58,,58
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,60,,60
2020-01-18,,,
2020-01-19,,,
2020-01-20,135,59,76
2020-01-21,342,95,247
2020-01-22,743,127,616
2020-01-23,858,114,744
2020-01-24,598,83,515
2020-01-25,678,106,572
2020-01-26,561,118,443
2020-01-27,430,110,320
2020-01-28,415,82,333
2020-01-29,416,114,302
2020-01-30,393,101,292
2020-01-31,417,112,305
2020-02-01,359,95,264
2020-02-02,389,104,285
2020-02-03,357,89,268
2020-02-04,313,85,228
2020-02-05,329,83,246
2020-02-06,320,89,231
2020-02-07,327,78,249
2020-02-08,295,80,215
2020-02-09,273,72,201
2020-02-10,291,89,202
2020-02-11,274,72,202
2020-02-12,264,80,184
2020-02-13,266,80,186
2020-02-14,248,72,176
2020-02-15,231,74,157
2020-02-16,228,68,160
2020-02-17,266,82,184
2020-02-18,223,66,157
2020-02-19,229,59,170
2020-02-20,238,70,168
2020-02-21,250,76,174
2020-02-22,229,64,165
2020-02-23,262,80,182
2020-02-24,248,78,170
2020-02-25,247,74,173
2020-02-26,246,72,174
2020-02-27,273,76,197
2020-02-28,266,87,179
2020-02-29,240,70,170
2020-03-01,238,78,160
2020-03-02,246,82,164
2020-03-03,229,70,159
2020-03-04,198,64,134
2020-03-05,221,74,147
2020-03-06,222,74,148
2020-03-07,203,64,139
2020-03-08,182,61,121
2020-03-09,195,82,113
2020-03-10,196,68,128
2020-03-11,177,64,113
2020-03-12,177,64,113
2020-03-13,191,70,121
2020-03-14,173,64,109
2020-03-15,162,57,105
2020-03-16,178,68,110
2020-03-17,166,70,96
2020-03-18,170,64,106
2020-03-19,163,64,99
2020-03-20,152,59,93
2020-03-21,87,,87
2020-03-22,83,,83
2020-03-23,170,70,100
2020-03-24,151,59,92
2020-03-25,154,59,95
2020-03-26,150,59,91
2020-03-27,145,63,82
2020-03-28,105,,105
2020-03-29,110,,110
2020-03-30,150,61,89
2020-03-31,152,63,89
2020-04-01,144,61,83
