日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,63,,63
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,114,57,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,,,
2019-12-24,58,,58
2019-12-25,60,,60
2019-12-26,57,,57
2019-12-27,57,57,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,60,,60
2020-01-02,60,,60
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,61,,61
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,132,59,73
2020-01-21,231,68,163
2020-01-22,431,83,348
2020-01-23,672,101,571
2020-01-24,565,97,468
2020-01-25,554,85,469
2020-01-26,535,99,436
2020-01-27,426,74,352
2020-01-28,391,83,308
2020-01-29,352,93,259
2020-01-30,336,95,241
2020-01-31,334,89,245
2020-02-01,345,85,260
2020-02-02,346,80,266
2020-02-03,374,80,294
2020-02-04,341,87,254
2020-02-05,353,110,243
2020-02-06,396,95,301
2020-02-07,364,72,292
2020-02-08,314,78,236
2020-02-09,278,76,202
2020-02-10,250,66,184
2020-02-11,280,82,198
2020-02-12,248,64,184
2020-02-13,253,80,173
2020-02-14,276,93,183
2020-02-15,246,76,170
2020-02-16,254,76,178
2020-02-17,263,74,189
2020-02-18,240,70,170
2020-02-19,267,70,197
2020-02-20,271,72,199
2020-02-21,276,68,208
2020-02-22,278,70,208
2020-02-23,276,68,208
2020-02-24,242,76,166
2020-02-25,267,74,193
2020-02-26,286,72,214
2020-02-27,251,83,168
2020-02-28,241,59,182
2020-02-29,253,64,189
2020-03-01,222,61,161
2020-03-02,237,89,148
2020-03-03,202,64,138
2020-03-04,205,57,148
2020-03-05,216,68,148
2020-03-06,200,70,130
2020-03-07,176,66,110
2020-03-08,169,61,108
2020-03-09,146,57,89
2020-03-10,179,64,115
2020-03-11,156,61,95
2020-03-12,172,64,108
2020-03-13,161,61,100
2020-03-14,164,59,105
2020-03-15,109,,109
2020-03-16,148,59,89
2020-03-17,157,68,89
2020-03-18,148,61,87
2020-03-19,140,61,79
2020-03-20,141,61,80
2020-03-21,146,64,82
2020-03-22,109,,109
2020-03-23,146,68,78
2020-03-24,167,59,108
2020-03-25,144,61,83
2020-03-26,147,61,86
2020-03-27,82,,82
2020-03-28,165,61,104
2020-03-29,164,68,96
2020-03-30,159,63,96
2020-03-31,147,61,86
2020-04-01,140,57,83
