日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,58,,58
2019-12-03,,,
2019-12-04,60,,60
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,58,,58
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,58,,58
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,58,,58
2019-12-31,58,,58
2020-01-01,,,
2020-01-02,57,57,
2020-01-03,58,,58
2020-01-04,58,,58
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,57,
2020-01-10,58,,58
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,134,61,73
2020-01-21,293,66,227
2020-01-22,613,101,512
2020-01-23,953,125,828
2020-01-24,642,91,551
2020-01-25,771,93,678
2020-01-26,694,120,574
2020-01-27,521,99,422
2020-01-28,462,89,373
2020-01-29,429,87,342
2020-01-30,362,85,277
2020-01-31,403,87,316
2020-02-01,405,102,303
2020-02-02,363,85,278
2020-02-03,458,121,337
2020-02-04,349,101,248
2020-02-05,330,89,241
2020-02-06,361,93,268
2020-02-07,364,101,263
2020-02-08,395,108,287
2020-02-09,323,102,221
2020-02-10,284,76,208
2020-02-11,285,82,203
2020-02-12,271,74,197
2020-02-13,274,70,204
2020-02-14,284,87,197
2020-02-15,268,72,196
2020-02-16,261,80,181
2020-02-17,292,87,205
2020-02-18,278,76,202
2020-02-19,254,76,178
2020-02-20,282,70,212
2020-02-21,336,83,253
2020-02-22,334,89,245
2020-02-23,285,70,215
2020-02-24,294,74,220
2020-02-25,290,70,220
2020-02-26,321,76,245
2020-02-27,284,78,206
2020-02-28,279,74,205
2020-02-29,291,76,215
2020-03-01,281,83,198
2020-03-02,269,89,180
2020-03-03,248,72,176
2020-03-04,238,68,170
2020-03-05,217,66,151
2020-03-06,219,72,147
2020-03-07,222,74,148
2020-03-08,216,64,152
2020-03-09,198,64,134
2020-03-10,224,72,152
2020-03-11,199,80,119
2020-03-12,196,70,126
2020-03-13,172,66,106
2020-03-14,185,63,122
2020-03-15,167,63,104
2020-03-16,184,74,110
2020-03-17,185,72,113
2020-03-18,170,61,109
2020-03-19,108,,108
2020-03-20,158,59,99
2020-03-21,159,59,100
2020-03-22,121,,121
2020-03-23,163,70,93
2020-03-24,153,57,96
2020-03-25,163,64,99
2020-03-26,158,61,97
2020-03-27,163,59,104
2020-03-28,110,,110
2020-03-29,192,57,135
2020-03-30,165,63,102
2020-03-31,173,61,112
2020-04-01,159,63,96
