日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,58,,58
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,61,,61
2019-12-23,58,,58
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,63,,63
2020-01-14,,,
2020-01-15,117,57,60
2020-01-16,,,
2020-01-17,61,,61
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,117,57,60
2020-01-21,246,68,178
2020-01-22,549,91,458
2020-01-23,699,114,585
2020-01-24,415,82,333
2020-01-25,547,85,462
2020-01-26,462,93,369
2020-01-27,366,91,275
2020-01-28,330,74,256
2020-01-29,305,74,231
2020-01-30,305,78,227
2020-01-31,331,106,225
2020-02-01,322,74,248
2020-02-02,299,68,231
2020-02-03,312,91,221
2020-02-04,313,93,220
2020-02-05,284,83,201
2020-02-06,306,95,211
2020-02-07,305,91,214
2020-02-08,282,82,200
2020-02-09,275,83,192
2020-02-10,243,83,160
2020-02-11,250,82,168
2020-02-12,239,82,157
2020-02-13,213,74,139
2020-02-14,224,63,161
2020-02-15,224,66,158
2020-02-16,167,59,108
2020-02-17,230,72,158
2020-02-18,215,64,151
2020-02-19,215,68,147
2020-02-20,214,66,148
2020-02-21,208,64,144
2020-02-22,221,70,151
2020-02-23,200,64,136
2020-02-24,202,61,141
2020-02-25,215,61,154
2020-02-26,225,61,164
2020-02-27,219,68,151
2020-02-28,194,66,128
2020-02-29,199,64,135
2020-03-01,221,72,149
2020-03-02,188,66,122
2020-03-03,183,66,117
2020-03-04,193,72,121
2020-03-05,186,63,123
2020-03-06,171,61,110
2020-03-07,173,68,105
2020-03-08,156,59,97
2020-03-09,156,61,95
2020-03-10,155,63,92
2020-03-11,148,64,84
2020-03-12,155,66,89
2020-03-13,172,70,102
2020-03-14,169,57,112
2020-03-15,148,57,91
2020-03-16,145,61,84
2020-03-17,137,59,78
2020-03-18,156,63,93
2020-03-19,157,61,96
2020-03-20,150,64,86
2020-03-21,83,,83
2020-03-22,86,,86
2020-03-23,151,64,87
2020-03-24,133,59,74
2020-03-25,137,57,80
2020-03-26,78,,78
2020-03-27,130,59,71
2020-03-28,137,57,80
2020-03-29,142,59,83
2020-03-30,141,59,82
2020-03-31,155,59,96
2020-04-01,70,,70
