日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,114,57,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,57,
2019-12-23,,,
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,57,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,57,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,120,57,63
2020-01-21,221,59,162
2020-01-22,377,95,282
2020-01-23,405,82,323
2020-01-24,279,64,215
2020-01-25,360,83,277
2020-01-26,341,74,267
2020-01-27,288,66,222
2020-01-28,256,72,184
2020-01-29,246,72,174
2020-01-30,235,61,174
2020-01-31,263,78,185
2020-02-01,235,59,176
2020-02-02,272,70,202
2020-02-03,275,80,195
2020-02-04,240,76,164
2020-02-05,254,70,184
2020-02-06,249,63,186
2020-02-07,246,68,178
2020-02-08,237,70,167
2020-02-09,232,74,158
2020-02-10,215,70,145
2020-02-11,215,66,149
2020-02-12,210,66,144
2020-02-13,195,61,134
2020-02-14,198,63,135
2020-02-15,175,57,118
2020-02-16,185,63,122
2020-02-17,186,61,125
2020-02-18,206,80,126
2020-02-19,198,64,134
2020-02-20,173,64,109
2020-02-21,194,63,131
2020-02-22,182,64,118
2020-02-23,191,61,130
2020-02-24,163,57,106
2020-02-25,189,63,126
2020-02-26,174,61,113
2020-02-27,183,70,113
2020-02-28,191,61,130
2020-02-29,182,63,119
2020-03-01,166,57,109
2020-03-02,167,61,106
2020-03-03,183,68,115
2020-03-04,161,64,97
2020-03-05,178,57,121
2020-03-06,159,66,93
2020-03-07,160,68,92
2020-03-08,155,63,92
2020-03-09,133,57,76
2020-03-10,157,66,91
2020-03-11,142,63,79
2020-03-12,136,63,73
2020-03-13,137,63,74
2020-03-14,148,59,89
2020-03-15,80,,80
2020-03-16,145,63,82
2020-03-17,142,63,79
2020-03-18,79,,79
2020-03-19,137,61,76
2020-03-20,144,66,78
2020-03-21,74,,74
2020-03-22,71,,71
2020-03-23,141,61,80
2020-03-24,130,59,71
2020-03-25,130,61,69
2020-03-26,133,59,74
2020-03-27,120,57,63
2020-03-28,136,57,79
2020-03-29,127,57,70
2020-03-30,137,63,74
2020-03-31,69,,69
2020-04-01,126,59,67
