日期,全部,pc,移动
2019-12-01,119,59,60
2019-12-02,60,,60
2019-12-03,,,
2019-12-04,63,,63
2019-12-05,,,
2019-12-06,60,,60
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,114,57,57
2019-12-11,58,,58
2019-12-12,57,,57
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,57,57,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,57,
2019-12-19,58,,58
2019-12-20,60,,60
2019-12-21,58,,58
2019-12-22,58,,58
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,60,,60
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,58,,58
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,58,,58
2020-01-08,57,57,
2020-01-09,,,
2020-01-10,,,
2020-01-11,60,,60
2020-01-12,,,
2020-01-13,58,,58
2020-01-14,57,57,
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,58,,58
2020-01-18,57,,57
2020-01-19,60,,60
2020-01-20,157,68,89
2020-01-21,347,76,271
2020-01-22,781,150,631
2020-01-23,1040,166,874
2020-01-24,912,112,800
2020-01-25,1027,155,872
2020-01-26,1027,165,862
2020-01-27,827,121,706
2020-01-28,768,129,639
2020-01-29,683,120,563
2020-01-30,608,112,496
2020-01-31,595,123,472
2020-02-01,580,121,459
2020-02-02,621,110,511
2020-02-03,616,148,468
2020-02-04,543,120,423
2020-02-05,503,129,374
2020-02-06,611,140,471
2020-02-07,565,131,434
2020-02-08,529,123,406
2020-02-09,442,114,328
2020-02-10,423,121,302
2020-02-11,432,131,301
2020-02-12,394,106,288
2020-02-13,435,108,327
2020-02-14,390,102,288
2020-02-15,352,93,259
2020-02-16,330,78,252
2020-02-17,389,101,288
2020-02-18,406,108,298
2020-02-19,476,116,360
2020-02-20,488,108,380
2020-02-21,506,112,394
2020-02-22,479,118,361
2020-02-23,465,82,383
2020-02-24,504,110,394
2020-02-25,479,95,384
2020-02-26,454,101,353
2020-02-27,402,104,298
2020-02-28,411,91,320
2020-02-29,355,85,270
2020-03-01,346,99,247
2020-03-02,324,89,235
2020-03-03,288,87,201
2020-03-04,281,82,199
2020-03-05,280,87,193
2020-03-06,264,106,158
2020-03-07,263,93,170
2020-03-08,218,63,155
2020-03-09,238,83,155
2020-03-10,257,102,155
2020-03-11,218,74,144
2020-03-12,212,74,138
2020-03-13,209,87,122
2020-03-14,223,80,143
2020-03-15,211,70,141
2020-03-16,193,68,125
2020-03-17,251,99,152
2020-03-18,206,101,105
2020-03-19,216,91,125
2020-03-20,193,80,113
2020-03-21,186,64,122
2020-03-22,188,66,122
2020-03-23,178,63,115
2020-03-24,175,70,105
2020-03-25,184,63,121
2020-03-26,172,66,106
2020-03-27,195,61,134
2020-03-28,204,57,147
2020-03-29,181,64,117
2020-03-30,192,64,128
2020-03-31,190,64,126
2020-04-01,193,72,121
