日期,全部,pc,移动
2019-12-01,61,,61
2019-12-02,122,59,63
2019-12-03,115,57,58
2019-12-04,61,,61
2019-12-05,58,,58
2019-12-06,60,,60
2019-12-07,65,,65
2019-12-08,126,57,69
2019-12-09,61,,61
2019-12-10,120,57,63
2019-12-11,57,,57
2019-12-12,66,,66
2019-12-13,,,
2019-12-14,60,,60
2019-12-15,66,,66
2019-12-16,122,59,63
2019-12-17,60,,60
2019-12-18,65,,65
2019-12-19,65,,65
2019-12-20,60,,60
2019-12-21,61,,61
2019-12-22,63,,63
2019-12-23,120,57,63
2019-12-24,58,,58
2019-12-25,60,,60
2019-12-26,63,,63
2019-12-27,,,
2019-12-28,,,
2019-12-29,66,,66
2019-12-30,61,,61
2019-12-31,59,59,
2020-01-01,58,,58
2020-01-02,61,,61
2020-01-03,61,,61
2020-01-04,60,,60
2020-01-05,58,,58
2020-01-06,115,57,58
2020-01-07,120,59,61
2020-01-08,61,,61
2020-01-09,61,,61
2020-01-10,57,,57
2020-01-11,61,,61
2020-01-12,63,,63
2020-01-13,58,,58
2020-01-14,115,57,58
2020-01-15,61,,61
2020-01-16,,,
2020-01-17,60,,60
2020-01-18,67,,67
2020-01-19,60,,60
2020-01-20,181,64,117
2020-01-21,460,99,361
2020-01-22,1001,140,861
2020-01-23,1126,165,961
2020-01-24,988,142,846
2020-01-25,1000,114,886
2020-01-26,1032,135,897
2020-01-27,925,131,794
2020-01-28,792,129,663
2020-01-29,718,120,598
2020-01-30,789,129,660
2020-01-31,835,169,666
2020-02-01,732,142,590
2020-02-02,724,142,582
2020-02-03,651,144,507
2020-02-04,669,129,540
2020-02-05,704,182,522
2020-02-06,758,176,582
2020-02-07,660,116,544
2020-02-08,697,137,560
2020-02-09,627,144,483
2020-02-10,586,140,446
2020-02-11,579,142,437
2020-02-12,569,135,434
2020-02-13,590,118,472
2020-02-14,570,129,441
2020-02-15,506,118,388
2020-02-16,464,91,373
2020-02-17,493,120,373
2020-02-18,470,116,354
2020-02-19,451,120,331
2020-02-20,502,87,415
2020-02-21,496,106,390
2020-02-22,483,102,381
2020-02-23,477,80,397
2020-02-24,550,110,440
2020-02-25,593,120,473
2020-02-26,652,101,551
2020-02-27,668,118,550
2020-02-28,687,120,567
2020-02-29,615,93,522
2020-03-01,520,93,427
2020-03-02,523,121,402
2020-03-03,532,99,433
2020-03-04,463,114,349
2020-03-05,412,93,319
2020-03-06,408,99,309
2020-03-07,372,91,281
2020-03-08,377,85,292
2020-03-09,389,97,292
2020-03-10,387,102,285
2020-03-11,379,87,292
2020-03-12,347,93,254
2020-03-13,314,82,232
2020-03-14,297,78,219
2020-03-15,312,80,232
2020-03-16,339,93,246
2020-03-17,305,104,201
2020-03-18,285,85,200
2020-03-19,286,74,212
2020-03-20,281,82,199
2020-03-21,258,66,192
2020-03-22,240,61,179
2020-03-23,237,72,165
2020-03-24,251,66,185
2020-03-25,269,74,195
2020-03-26,237,76,161
2020-03-27,264,80,184
2020-03-28,277,66,211
2020-03-29,277,68,209
2020-03-30,286,83,203
2020-03-31,269,82,187
2020-04-01,249,89,160
