日期,全部,pc,移动
2019-12-01,61,,61
2019-12-02,118,57,61
2019-12-03,118,57,61
2019-12-04,67,,67
2019-12-05,63,,63
2019-12-06,117,57,60
2019-12-07,69,,69
2019-12-08,67,,67
2019-12-09,66,,66
2019-12-10,118,57,61
2019-12-11,61,,61
2019-12-12,65,,65
2019-12-13,63,,63
2019-12-14,61,,61
2019-12-15,66,,66
2019-12-16,124,59,65
2019-12-17,58,,58
2019-12-18,65,,65
2019-12-19,60,,60
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,60,,60
2019-12-23,57,,57
2019-12-24,69,,69
2019-12-25,61,,61
2019-12-26,66,,66
2019-12-27,61,,61
2019-12-28,66,,66
2019-12-29,58,,58
2019-12-30,67,,67
2019-12-31,60,,60
2020-01-01,57,,57
2020-01-02,122,57,65
2020-01-03,114,57,57
2020-01-04,60,,60
2020-01-05,60,,60
2020-01-06,,,
2020-01-07,58,,58
2020-01-08,114,57,57
2020-01-09,60,,60
2020-01-10,,,
2020-01-11,58,,58
2020-01-12,60,,60
2020-01-13,57,,57
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,114,57,57
2020-01-17,61,,61
2020-01-18,,,
2020-01-19,,,
2020-01-20,165,63,102
2020-01-21,390,83,307
2020-01-22,1000,131,869
2020-01-23,1089,131,958
2020-01-24,847,95,752
2020-01-25,1022,102,920
2020-01-26,1049,144,905
2020-01-27,996,139,857
2020-01-28,921,125,796
2020-01-29,777,108,669
2020-01-30,751,131,620
2020-01-31,777,146,631
2020-02-01,670,120,550
2020-02-02,619,121,498
2020-02-03,587,108,479
2020-02-04,611,131,480
2020-02-05,631,127,504
2020-02-06,638,121,517
2020-02-07,698,137,561
2020-02-08,647,123,524
2020-02-09,555,114,441
2020-02-10,562,108,454
2020-02-11,585,125,460
2020-02-12,502,97,405
2020-02-13,499,97,402
2020-02-14,452,101,351
2020-02-15,461,95,366
2020-02-16,411,83,328
2020-02-17,437,104,333
2020-02-18,406,106,300
2020-02-19,463,116,347
2020-02-20,391,99,292
2020-02-21,429,99,330
2020-02-22,415,85,330
2020-02-23,406,82,324
2020-02-24,431,110,321
2020-02-25,482,91,391
2020-02-26,572,108,464
2020-02-27,485,101,384
2020-02-28,446,99,347
2020-02-29,466,97,369
2020-03-01,398,68,330
2020-03-02,450,112,338
2020-03-03,351,83,268
2020-03-04,375,95,280
2020-03-05,374,89,285
2020-03-06,335,76,259
2020-03-07,327,66,261
2020-03-08,295,78,217
2020-03-09,317,89,228
2020-03-10,317,78,239
2020-03-11,274,78,196
2020-03-12,300,78,222
2020-03-13,278,76,202
2020-03-14,280,68,212
2020-03-15,244,66,178
2020-03-16,255,76,179
2020-03-17,290,97,193
2020-03-18,258,80,178
2020-03-19,246,64,182
2020-03-20,227,72,155
2020-03-21,221,64,157
2020-03-22,216,57,159
2020-03-23,222,63,159
2020-03-24,210,63,147
2020-03-25,213,70,143
2020-03-26,196,68,128
2020-03-27,209,70,139
2020-03-28,200,61,139
2020-03-29,231,70,161
2020-03-30,234,68,166
2020-03-31,213,66,147
2020-04-01,212,64,148
