日期,全部,pc,移动
2019-12-01,,,
2019-12-02,61,,61
2019-12-03,57,,57
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,115,57,58
2019-12-07,58,,58
2019-12-08,122,57,65
2019-12-09,123,57,66
2019-12-10,114,57,57
2019-12-11,,,
2019-12-12,60,,60
2019-12-13,58,,58
2019-12-14,,,
2019-12-15,58,,58
2019-12-16,61,,61
2019-12-17,122,59,63
2019-12-18,61,,61
2019-12-19,,,
2019-12-20,115,57,58
2019-12-21,,,
2019-12-22,60,,60
2019-12-23,61,61,
2019-12-24,57,,57
2019-12-25,122,59,63
2019-12-26,57,,57
2019-12-27,57,57,
2019-12-28,,,
2019-12-29,114,57,57
2019-12-30,57,57,
2019-12-31,118,57,61
2020-01-01,60,,60
2020-01-02,117,57,60
2020-01-03,116,59,57
2020-01-04,,,
2020-01-05,60,,60
2020-01-06,58,,58
2020-01-07,61,61,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,120,59,61
2020-01-14,115,57,58
2020-01-15,57,57,
2020-01-16,114,57,57
2020-01-17,,,
2020-01-18,58,,58
2020-01-19,57,,57
2020-01-20,151,64,87
2020-01-21,300,83,217
2020-01-22,607,125,482
2020-01-23,797,133,664
2020-01-24,586,120,466
2020-01-25,755,118,637
2020-01-26,723,123,600
2020-01-27,637,112,525
2020-01-28,651,144,507
2020-01-29,589,131,458
2020-01-30,548,116,432
2020-01-31,558,129,429
2020-02-01,522,131,391
2020-02-02,487,120,367
2020-02-03,438,118,320
2020-02-04,483,155,328
2020-02-05,510,148,362
2020-02-06,526,142,384
2020-02-07,560,144,416
2020-02-08,541,118,423
2020-02-09,553,139,414
2020-02-10,462,139,323
2020-02-11,468,142,326
2020-02-12,467,157,310
2020-02-13,439,123,316
2020-02-14,347,97,250
2020-02-15,375,106,269
2020-02-16,375,97,278
2020-02-17,357,110,247
2020-02-18,361,129,232
2020-02-19,396,116,280
2020-02-20,400,101,299
2020-02-21,360,91,269
2020-02-22,356,89,267
2020-02-23,360,89,271
2020-02-24,423,127,296
2020-02-25,484,121,363
2020-02-26,434,104,330
2020-02-27,393,108,285
2020-02-28,413,108,305
2020-02-29,362,95,267
2020-03-01,292,89,203
2020-03-02,363,116,247
2020-03-03,294,83,211
2020-03-04,293,87,206
2020-03-05,293,87,206
2020-03-06,285,95,190
2020-03-07,289,85,204
2020-03-08,245,87,158
2020-03-09,282,95,187
2020-03-10,260,93,167
2020-03-11,256,91,165
2020-03-12,272,102,170
2020-03-13,254,91,163
2020-03-14,211,57,154
2020-03-15,227,72,155
2020-03-16,243,78,165
2020-03-17,223,72,151
2020-03-18,219,74,145
2020-03-19,211,85,126
2020-03-20,206,80,126
2020-03-21,210,78,132
2020-03-22,193,61,132
2020-03-23,210,74,136
2020-03-24,197,66,131
2020-03-25,217,72,145
2020-03-26,206,72,134
2020-03-27,205,82,123
2020-03-28,176,66,110
2020-03-29,199,64,135
2020-03-30,184,76,108
2020-03-31,181,82,99
2020-04-01,212,74,138
