日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,57,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,66,,66
2019-12-06,,,
2019-12-07,,,
2019-12-08,61,,61
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,60,,60
2019-12-18,61,,61
2019-12-19,60,,60
2019-12-20,58,,58
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,58,,58
2019-12-30,57,,57
2019-12-31,65,,65
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,57,57,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,,57
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,57,,57
2020-01-19,114,57,57
2020-01-20,139,59,80
2020-01-21,236,66,170
2020-01-22,486,80,406
2020-01-23,640,93,547
2020-01-24,395,82,313
2020-01-25,461,78,383
2020-01-26,602,102,500
2020-01-27,469,83,386
2020-01-28,489,102,387
2020-01-29,425,85,340
2020-01-30,461,102,359
2020-01-31,453,102,351
2020-02-01,367,85,282
2020-02-02,351,63,288
2020-02-03,393,108,285
2020-02-04,353,89,264
2020-02-05,306,82,224
2020-02-06,370,85,285
2020-02-07,334,78,256
2020-02-08,329,83,246
2020-02-09,332,93,239
2020-02-10,294,82,212
2020-02-11,316,91,225
2020-02-12,292,99,193
2020-02-13,303,78,225
2020-02-14,288,80,208
2020-02-15,286,66,220
2020-02-16,278,76,202
2020-02-17,260,78,182
2020-02-18,271,78,193
2020-02-19,244,68,176
2020-02-20,276,68,208
2020-02-21,251,72,179
2020-02-22,250,68,182
2020-02-23,265,76,189
2020-02-24,277,72,205
2020-02-25,268,66,202
2020-02-26,270,70,200
2020-02-27,273,70,203
2020-02-28,268,78,190
2020-02-29,263,78,185
2020-03-01,250,63,187
2020-03-02,249,76,173
2020-03-03,217,63,154
2020-03-04,231,61,170
2020-03-05,225,74,151
2020-03-06,190,68,122
2020-03-07,221,66,155
2020-03-08,184,59,125
2020-03-09,199,61,138
2020-03-10,196,61,135
2020-03-11,190,59,131
2020-03-12,171,59,112
2020-03-13,176,57,119
2020-03-14,186,64,122
2020-03-15,181,64,117
2020-03-16,166,64,102
2020-03-17,150,64,86
2020-03-18,169,61,108
2020-03-19,166,61,105
2020-03-20,148,57,91
2020-03-21,149,63,86
2020-03-22,106,,106
2020-03-23,161,59,102
2020-03-24,145,59,86
2020-03-25,158,66,92
2020-03-26,165,59,106
2020-03-27,156,57,99
2020-03-28,157,57,100
2020-03-29,149,57,92
2020-03-30,140,57,83
2020-03-31,144,61,83
2020-04-01,93,,93
