日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,58,,58
2019-12-04,58,,58
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,60,,60
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,60,,60
2020-01-02,,,
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,57,,57
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,180,74,106
2020-01-22,300,76,224
2020-01-23,351,89,262
2020-01-24,302,97,205
2020-01-25,369,74,295
2020-01-26,405,82,323
2020-01-27,358,76,282
2020-01-28,303,76,227
2020-01-29,267,82,185
2020-01-30,283,80,203
2020-01-31,264,72,192
2020-02-01,287,95,192
2020-02-02,260,95,165
2020-02-03,278,101,177
2020-02-04,265,95,170
2020-02-05,248,74,174
2020-02-06,307,76,231
2020-02-07,288,95,193
2020-02-08,258,82,176
2020-02-09,234,72,162
2020-02-10,240,76,164
2020-02-11,231,70,161
2020-02-12,237,70,167
2020-02-13,236,85,151
2020-02-14,232,78,154
2020-02-15,221,72,149
2020-02-16,222,61,161
2020-02-17,238,74,164
2020-02-18,209,68,141
2020-02-19,213,68,145
2020-02-20,239,82,157
2020-02-21,228,63,165
2020-02-22,238,68,170
2020-02-23,249,66,183
2020-02-24,222,70,152
2020-02-25,247,66,181
2020-02-26,259,70,189
2020-02-27,240,72,168
2020-02-28,238,72,166
2020-02-29,228,76,152
2020-03-01,200,59,141
2020-03-02,217,72,145
2020-03-03,187,59,128
2020-03-04,202,68,134
2020-03-05,185,59,126
2020-03-06,187,61,126
2020-03-07,187,61,126
2020-03-08,119,,119
2020-03-09,161,57,104
2020-03-10,151,59,92
2020-03-11,176,68,108
2020-03-12,172,68,104
2020-03-13,145,63,82
2020-03-14,156,63,93
2020-03-15,139,57,82
2020-03-16,139,63,76
2020-03-17,151,64,87
2020-03-18,155,59,96
2020-03-19,144,61,83
2020-03-20,136,63,73
2020-03-21,148,57,91
2020-03-22,70,,70
2020-03-23,123,57,66
2020-03-24,133,57,76
2020-03-25,130,59,71
2020-03-26,66,,66
2020-03-27,143,57,86
2020-03-28,66,,66
2020-03-29,78,,78
2020-03-30,131,61,70
2020-03-31,143,64,79
2020-04-01,125,59,66
