日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,63,,63
2019-12-06,63,,63
2019-12-07,66,,66
2019-12-08,60,,60
2019-12-09,60,,60
2019-12-10,63,,63
2019-12-11,58,,58
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,69,,69
2019-12-15,,,
2019-12-16,60,,60
2019-12-17,58,,58
2019-12-18,58,,58
2019-12-19,115,57,58
2019-12-20,,,
2019-12-21,117,57,60
2019-12-22,57,,57
2019-12-23,57,,57
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,57,,57
2019-12-28,60,,60
2019-12-29,,,
2019-12-30,,,
2019-12-31,58,,58
2020-01-01,57,,57
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,60,,60
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,58,,58
2020-01-10,,,
2020-01-11,,,
2020-01-12,58,,58
2020-01-13,57,,57
2020-01-14,65,,65
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,58,,58
2020-01-20,140,57,83
2020-01-21,219,76,143
2020-01-22,557,97,460
2020-01-23,708,110,598
2020-01-24,462,93,369
2020-01-25,603,93,510
2020-01-26,549,97,452
2020-01-27,512,93,419
2020-01-28,432,91,341
2020-01-29,442,80,362
2020-01-30,396,87,309
2020-01-31,450,106,344
2020-02-01,370,89,281
2020-02-02,372,95,277
2020-02-03,364,87,277
2020-02-04,382,104,278
2020-02-05,420,93,327
2020-02-06,393,87,306
2020-02-07,400,104,296
2020-02-08,375,101,274
2020-02-09,424,91,333
2020-02-10,374,104,270
2020-02-11,351,97,254
2020-02-12,345,93,252
2020-02-13,324,85,239
2020-02-14,308,72,236
2020-02-15,300,83,217
2020-02-16,296,78,218
2020-02-17,290,78,212
2020-02-18,308,93,215
2020-02-19,306,82,224
2020-02-20,305,80,225
2020-02-21,293,78,215
2020-02-22,279,83,196
2020-02-23,284,64,220
2020-02-24,299,72,227
2020-02-25,309,66,243
2020-02-26,412,93,319
2020-02-27,410,82,328
2020-02-28,393,80,313
2020-02-29,400,74,326
2020-03-01,370,85,285
2020-03-02,349,85,264
2020-03-03,283,66,217
2020-03-04,294,76,218
2020-03-05,302,78,224
2020-03-06,253,64,189
2020-03-07,269,70,199
2020-03-08,251,83,168
2020-03-09,237,72,165
2020-03-10,251,85,166
2020-03-11,229,66,163
2020-03-12,208,57,151
2020-03-13,209,68,141
2020-03-14,223,72,151
2020-03-15,230,64,166
2020-03-16,224,72,152
2020-03-17,204,72,132
2020-03-18,195,70,125
2020-03-19,196,68,128
2020-03-20,189,74,115
2020-03-21,177,72,105
2020-03-22,188,57,131
2020-03-23,161,70,91
2020-03-24,150,59,91
2020-03-25,171,72,99
2020-03-26,179,64,115
2020-03-27,161,59,102
2020-03-28,168,59,109
2020-03-29,165,57,108
2020-03-30,195,64,131
2020-03-31,171,61,110
2020-04-01,148,66,82
