日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,57,,57
2019-12-04,57,,57
2019-12-05,61,,61
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,57,,57
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,61,,61
2019-12-12,,,
2019-12-13,57,57,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,60,,60
2019-12-18,57,,57
2019-12-19,60,,60
2019-12-20,58,,58
2019-12-21,60,,60
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,57,,57
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,58,,58
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,123,57,66
2020-01-21,204,74,130
2020-01-22,403,87,316
2020-01-23,455,85,370
2020-01-24,322,72,250
2020-01-25,390,66,324
2020-01-26,509,93,416
2020-01-27,404,83,321
2020-01-28,371,97,274
2020-01-29,344,80,264
2020-01-30,348,101,247
2020-01-31,375,116,259
2020-02-01,340,93,247
2020-02-02,290,78,212
2020-02-03,314,93,221
2020-02-04,297,91,206
2020-02-05,306,89,217
2020-02-06,302,83,219
2020-02-07,320,89,231
2020-02-08,324,85,239
2020-02-09,321,89,232
2020-02-10,318,106,212
2020-02-11,288,93,195
2020-02-12,276,95,181
2020-02-13,279,87,192
2020-02-14,287,97,190
2020-02-15,266,83,183
2020-02-16,238,76,162
2020-02-17,266,99,167
2020-02-18,233,72,161
2020-02-19,233,76,157
2020-02-20,260,80,180
2020-02-21,237,74,163
2020-02-22,236,63,173
2020-02-23,243,85,158
2020-02-24,261,80,181
2020-02-25,280,82,198
2020-02-26,272,82,190
2020-02-27,232,83,149
2020-02-28,259,95,164
2020-02-29,264,85,179
2020-03-01,218,63,155
2020-03-02,207,68,139
2020-03-03,196,68,128
2020-03-04,192,64,128
2020-03-05,210,89,121
2020-03-06,178,70,108
2020-03-07,151,59,92
2020-03-08,177,72,105
2020-03-09,174,74,100
2020-03-10,165,66,99
2020-03-11,165,59,106
2020-03-12,172,68,104
2020-03-13,152,61,91
2020-03-14,152,61,91
2020-03-15,169,63,106
2020-03-16,159,68,91
2020-03-17,159,63,96
2020-03-18,150,59,91
2020-03-19,150,70,80
2020-03-20,80,,80
2020-03-21,139,59,80
2020-03-22,130,59,71
2020-03-23,139,61,78
2020-03-24,131,57,74
2020-03-25,142,59,83
2020-03-26,149,63,86
2020-03-27,141,59,82
2020-03-28,137,59,78
2020-03-29,143,59,84
2020-03-30,162,76,86
2020-03-31,143,59,84
2020-04-01,134,61,73
