日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,,,
2019-12-03,57,57,
2019-12-04,60,,60
2019-12-05,118,57,61
2019-12-06,,,
2019-12-07,63,,63
2019-12-08,57,,57
2019-12-09,63,,63
2019-12-10,58,,58
2019-12-11,57,57,
2019-12-12,60,,60
2019-12-13,,,
2019-12-14,58,,58
2019-12-15,57,,57
2019-12-16,59,59,
2019-12-17,61,,61
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,114,57,57
2019-12-24,58,,58
2019-12-25,60,,60
2019-12-26,61,,61
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,58,,58
2019-12-30,,,
2019-12-31,114,57,57
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,57,,57
2020-01-08,58,,58
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,128,57,71
2020-01-21,241,63,178
2020-01-22,520,83,437
2020-01-23,808,118,690
2020-01-24,434,80,354
2020-01-25,602,87,515
2020-01-26,692,110,582
2020-01-27,528,106,422
2020-01-28,448,99,349
2020-01-29,423,97,326
2020-01-30,432,102,330
2020-01-31,467,118,349
2020-02-01,427,89,338
2020-02-02,396,91,305
2020-02-03,349,82,267
2020-02-04,368,93,275
2020-02-05,331,85,246
2020-02-06,386,104,282
2020-02-07,341,106,235
2020-02-08,381,104,277
2020-02-09,303,72,231
2020-02-10,309,97,212
2020-02-11,324,89,235
2020-02-12,317,108,209
2020-02-13,336,95,241
2020-02-14,295,76,219
2020-02-15,302,87,215
2020-02-16,288,82,206
2020-02-17,282,70,212
2020-02-18,285,80,205
2020-02-19,267,72,195
2020-02-20,284,82,202
2020-02-21,355,89,266
2020-02-22,394,78,316
2020-02-23,475,99,376
2020-02-24,455,83,372
2020-02-25,435,97,338
2020-02-26,499,76,423
2020-02-27,464,74,390
2020-02-28,475,89,386
2020-02-29,545,80,465
2020-03-01,356,76,280
2020-03-02,367,78,289
2020-03-03,323,70,253
2020-03-04,330,76,254
2020-03-05,308,76,232
2020-03-06,276,89,187
2020-03-07,224,72,152
2020-03-08,236,70,166
2020-03-09,237,72,165
2020-03-10,231,76,155
2020-03-11,246,68,178
2020-03-12,231,66,165
2020-03-13,228,74,154
2020-03-14,209,64,145
2020-03-15,186,61,125
2020-03-16,194,63,131
2020-03-17,196,70,126
2020-03-18,186,64,122
2020-03-19,182,63,119
2020-03-20,181,68,113
2020-03-21,183,57,126
2020-03-22,165,57,108
2020-03-23,170,68,102
2020-03-24,181,66,115
2020-03-25,165,61,104
2020-03-26,178,59,119
2020-03-27,172,59,113
2020-03-28,168,59,109
2020-03-29,167,63,104
2020-03-30,160,68,92
2020-03-31,170,70,100
2020-04-01,146,59,87
