日期,全部,pc,移动
2019-12-01,71,,71
2019-12-02,70,,70
2019-12-03,,,
2019-12-04,60,,60
2019-12-05,71,,71
2019-12-06,58,,58
2019-12-07,63,,63
2019-12-08,65,,65
2019-12-09,69,,69
2019-12-10,121,61,60
2019-12-11,123,57,66
2019-12-12,60,,60
2019-12-13,61,,61
2019-12-14,65,,65
2019-12-15,61,,61
2019-12-16,61,,61
2019-12-17,58,,58
2019-12-18,114,57,57
2019-12-19,66,,66
2019-12-20,58,,58
2019-12-21,60,,60
2019-12-22,58,,58
2019-12-23,65,,65
2019-12-24,60,,60
2019-12-25,57,,57
2019-12-26,117,59,58
2019-12-27,60,,60
2019-12-28,65,,65
2019-12-29,67,,67
2019-12-30,61,,61
2019-12-31,,,
2020-01-01,58,,58
2020-01-02,115,57,58
2020-01-03,57,,57
2020-01-04,63,,63
2020-01-05,61,,61
2020-01-06,60,,60
2020-01-07,60,,60
2020-01-08,117,57,60
2020-01-09,58,,58
2020-01-10,60,,60
2020-01-11,63,,63
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,115,57,58
2020-01-16,,,
2020-01-17,,,
2020-01-18,58,,58
2020-01-19,57,,57
2020-01-20,137,57,80
2020-01-21,312,76,236
2020-01-22,693,97,596
2020-01-23,992,123,869
2020-01-24,642,85,557
2020-01-25,900,110,790
2020-01-26,970,133,837
2020-01-27,668,97,571
2020-01-28,667,118,549
2020-01-29,561,114,447
2020-01-30,528,99,429
2020-01-31,564,93,471
2020-02-01,524,120,404
2020-02-02,511,112,399
2020-02-03,522,146,376
2020-02-04,501,110,391
2020-02-05,484,131,353
2020-02-06,458,114,344
2020-02-07,526,139,387
2020-02-08,501,93,408
2020-02-09,432,116,316
2020-02-10,435,112,323
2020-02-11,448,110,338
2020-02-12,371,97,274
2020-02-13,417,116,301
2020-02-14,395,93,302
2020-02-15,363,83,280
2020-02-16,333,80,253
2020-02-17,366,91,275
2020-02-18,325,83,242
2020-02-19,346,85,261
2020-02-20,367,99,268
2020-02-21,420,106,314
2020-02-22,475,106,369
2020-02-23,554,99,455
2020-02-24,602,91,511
2020-02-25,704,104,600
2020-02-26,703,112,591
2020-02-27,567,89,478
2020-02-28,498,97,401
2020-02-29,533,104,429
2020-03-01,404,85,319
2020-03-02,368,83,285
2020-03-03,344,95,249
2020-03-04,255,66,189
2020-03-05,309,87,222
2020-03-06,257,72,185
2020-03-07,276,72,204
2020-03-08,263,66,197
2020-03-09,262,76,186
2020-03-10,293,87,206
2020-03-11,261,78,183
2020-03-12,250,80,170
2020-03-13,233,70,163
2020-03-14,246,87,159
2020-03-15,234,68,166
2020-03-16,229,63,166
2020-03-17,224,76,148
2020-03-18,226,61,165
2020-03-19,223,68,155
2020-03-20,243,72,171
2020-03-21,217,59,158
2020-03-22,204,61,143
2020-03-23,220,72,148
2020-03-24,171,59,112
2020-03-25,212,76,136
2020-03-26,193,68,125
2020-03-27,193,63,130
2020-03-28,204,68,136
2020-03-29,180,61,119
2020-03-30,358,198,160
2020-03-31,448,301,147
2020-04-01,505,358,147
