日期,全部,pc,移动
2019-12-01,188,57,131
2019-12-02,184,61,123
2019-12-03,180,61,119
2019-12-04,182,61,121
2019-12-05,180,63,117
2019-12-06,169,61,108
2019-12-07,190,59,131
2019-12-08,141,,141
2019-12-09,200,61,139
2019-12-10,197,61,136
2019-12-11,164,64,100
2019-12-12,105,,105
2019-12-13,109,,109
2019-12-14,185,59,126
2019-12-15,123,,123
2019-12-16,113,,113
2019-12-17,168,59,109
2019-12-18,176,59,117
2019-12-19,155,59,96
2019-12-20,163,57,106
2019-12-21,189,57,132
2019-12-22,205,57,148
2019-12-23,211,64,147
2019-12-24,223,68,155
2019-12-25,208,76,132
2019-12-26,182,64,118
2019-12-27,168,64,104
2019-12-28,159,59,100
2019-12-29,188,66,122
2019-12-30,150,57,93
2019-12-31,189,68,121
2020-01-01,169,57,112
2020-01-02,165,66,99
2020-01-03,148,57,91
2020-01-04,169,57,112
2020-01-05,91,,91
2020-01-06,104,,104
2020-01-07,147,63,84
2020-01-08,154,61,93
2020-01-09,165,63,102
2020-01-10,165,59,106
2020-01-11,139,63,76
2020-01-12,139,59,80
2020-01-13,139,59,80
2020-01-14,163,63,100
2020-01-15,145,61,84
2020-01-16,122,57,65
2020-01-17,135,59,76
2020-01-18,156,61,95
2020-01-19,178,70,108
2020-01-20,552,161,391
2020-01-21,2289,426,1863
2020-01-22,5443,706,4737
2020-01-23,8403,871,7532
2020-01-24,4763,569,4194
2020-01-25,5962,627,5335
2020-01-26,5567,797,4770
2020-01-27,4150,679,3471
2020-01-28,3544,603,2941
2020-01-29,3142,608,2534
2020-01-30,2974,561,2413
2020-01-31,3151,704,2447
2020-02-01,3056,639,2417
2020-02-02,2918,574,2344
2020-02-03,2770,614,2156
2020-02-04,2684,627,2057
2020-02-05,2697,622,2075
2020-02-06,2583,633,1950
2020-02-07,2612,622,1990
2020-02-08,2566,575,1991
2020-02-09,2336,459,1877
2020-02-10,2385,544,1841
2020-02-11,2259,519,1740
2020-02-12,2171,485,1686
2020-02-13,2403,524,1879
2020-02-14,2294,468,1826
2020-02-15,2229,516,1713
2020-02-16,1962,386,1576
2020-02-17,1893,430,1463
2020-02-18,1820,378,1442
2020-02-19,2061,448,1613
2020-02-20,1981,409,1572
2020-02-21,2101,436,1665
2020-02-22,2151,358,1793
2020-02-23,2628,426,2202
2020-02-24,2946,557,2389
2020-02-25,3394,575,2819
2020-02-26,3914,689,3225
2020-02-27,3489,650,2839
2020-02-28,3223,622,2601
2020-02-29,3053,430,2623
2020-03-01,2500,456,2044
2020-03-02,2570,659,1911
2020-03-03,2157,468,1689
2020-03-04,1940,476,1464
2020-03-05,1944,487,1457
2020-03-06,1718,457,1261
2020-03-07,1494,383,1111
2020-03-08,1430,304,1126
2020-03-09,1501,468,1033
2020-03-10,1415,408,1007
2020-03-11,1371,375,996
2020-03-12,1413,430,983
2020-03-13,1400,409,991
2020-03-14,1281,321,960
2020-03-15,1181,247,934
2020-03-16,1353,425,928
2020-03-17,1345,406,939
2020-03-18,1310,392,918
2020-03-19,1163,281,882
2020-03-20,1221,335,886
2020-03-21,1081,219,862
2020-03-22,951,83,868
2020-03-23,1150,307,843
2020-03-24,1046,204,842
2020-03-25,1094,287,807
2020-03-26,1071,225,846
2020-03-27,1073,218,855
2020-03-28,1010,148,862
2020-03-29,1065,175,890
2020-03-30,1144,276,868
2020-03-31,1139,279,860
2020-04-01,1124,237,887
