日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,60,,60
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,61,61,
2020-01-01,58,,58
2020-01-02,115,57,58
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,126,57,69
2020-01-21,278,85,193
2020-01-22,496,87,409
2020-01-23,708,102,606
2020-01-24,367,68,299
2020-01-25,464,95,369
2020-01-26,412,91,321
2020-01-27,362,95,267
2020-01-28,281,76,205
2020-01-29,290,89,201
2020-01-30,286,89,197
2020-01-31,319,121,198
2020-02-01,280,72,208
2020-02-02,282,89,193
2020-02-03,266,83,183
2020-02-04,273,80,193
2020-02-05,281,83,198
2020-02-06,298,97,201
2020-02-07,272,82,190
2020-02-08,255,78,177
2020-02-09,241,70,171
2020-02-10,251,83,168
2020-02-11,254,76,178
2020-02-12,252,91,161
2020-02-13,286,78,208
2020-02-14,261,76,185
2020-02-15,234,83,151
2020-02-16,231,74,157
2020-02-17,237,76,161
2020-02-18,218,70,148
2020-02-19,238,64,174
2020-02-20,226,72,154
2020-02-21,245,64,181
2020-02-22,245,72,173
2020-02-23,271,68,203
2020-02-24,260,76,184
2020-02-25,273,78,195
2020-02-26,300,78,222
2020-02-27,281,64,217
2020-02-28,316,89,227
2020-02-29,298,80,218
2020-03-01,288,68,220
2020-03-02,268,70,198
2020-03-03,263,68,195
2020-03-04,233,70,163
2020-03-05,242,68,174
2020-03-06,202,74,128
2020-03-07,229,63,166
2020-03-08,215,64,151
2020-03-09,186,61,125
2020-03-10,201,63,138
2020-03-11,221,66,155
2020-03-12,178,66,112
2020-03-13,196,66,130
2020-03-14,187,64,123
2020-03-15,167,59,108
2020-03-16,184,72,112
2020-03-17,184,72,112
2020-03-18,166,61,105
2020-03-19,178,66,112
2020-03-20,166,61,105
2020-03-21,143,63,80
2020-03-22,152,59,93
2020-03-23,145,59,86
2020-03-24,151,59,92
2020-03-25,135,64,71
2020-03-26,168,64,104
2020-03-27,149,63,86
2020-03-28,150,59,91
2020-03-29,150,57,93
2020-03-30,144,64,80
2020-03-31,149,63,86
2020-04-01,153,66,87
