日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,206,68,138
2020-01-22,316,85,231
2020-01-23,454,95,359
2020-01-24,352,85,267
2020-01-25,435,89,346
2020-01-26,406,83,323
2020-01-27,314,93,221
2020-01-28,250,70,180
2020-01-29,255,87,168
2020-01-30,226,74,152
2020-01-31,252,82,170
2020-02-01,253,76,177
2020-02-02,245,68,177
2020-02-03,261,85,176
2020-02-04,237,74,163
2020-02-05,268,76,192
2020-02-06,242,74,168
2020-02-07,247,70,177
2020-02-08,241,76,165
2020-02-09,232,72,160
2020-02-10,236,76,160
2020-02-11,225,78,147
2020-02-12,248,80,168
2020-02-13,232,70,162
2020-02-14,239,72,167
2020-02-15,230,72,158
2020-02-16,208,74,134
2020-02-17,223,68,155
2020-02-18,215,70,145
2020-02-19,229,72,157
2020-02-20,217,59,158
2020-02-21,225,70,155
2020-02-22,223,68,155
2020-02-23,277,68,209
2020-02-24,299,78,221
2020-02-25,331,78,253
2020-02-26,374,87,287
2020-02-27,355,89,266
2020-02-28,314,72,242
2020-02-29,292,61,231
2020-03-01,246,66,180
2020-03-02,258,76,182
2020-03-03,225,70,155
2020-03-04,219,76,143
2020-03-05,226,68,158
2020-03-06,202,68,134
2020-03-07,189,68,121
2020-03-08,187,61,126
2020-03-09,184,63,121
2020-03-10,174,64,110
2020-03-11,162,57,105
2020-03-12,154,63,91
2020-03-13,176,68,108
2020-03-14,174,59,115
2020-03-15,102,,102
2020-03-16,169,64,105
2020-03-17,156,59,97
2020-03-18,153,61,92
2020-03-19,145,61,84
2020-03-20,143,64,79
2020-03-21,145,61,84
2020-03-22,69,,69
2020-03-23,126,57,69
2020-03-24,126,59,67
2020-03-25,138,59,79
2020-03-26,137,59,78
2020-03-27,148,57,91
2020-03-28,137,57,80
2020-03-29,147,61,86
2020-03-30,139,57,82
2020-03-31,146,59,87
2020-04-01,89,,89
