日期,全部,pc,移动
2019-12-01,,,
2019-12-02,61,,61
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,,57
2019-12-08,61,,61
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,60,,60
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,58,,58
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,57,
2019-12-25,,,
2019-12-26,,,
2019-12-27,58,,58
2019-12-28,,,
2019-12-29,58,,58
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,59,59,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,,,
2020-01-20,124,61,63
2020-01-21,258,72,186
2020-01-22,454,85,369
2020-01-23,623,104,519
2020-01-24,421,93,328
2020-01-25,593,93,500
2020-01-26,610,123,487
2020-01-27,456,91,365
2020-01-28,350,87,263
2020-01-29,331,82,249
2020-01-30,306,85,221
2020-01-31,378,114,264
2020-02-01,348,93,255
2020-02-02,369,102,267
2020-02-03,335,104,231
2020-02-04,331,83,248
2020-02-05,312,91,221
2020-02-06,306,91,215
2020-02-07,315,101,214
2020-02-08,318,91,227
2020-02-09,307,76,231
2020-02-10,290,87,203
2020-02-11,288,80,208
2020-02-12,293,78,215
2020-02-13,283,82,201
2020-02-14,307,78,229
2020-02-15,298,99,199
2020-02-16,262,64,198
2020-02-17,245,61,184
2020-02-18,259,63,196
2020-02-19,299,74,225
2020-02-20,280,76,204
2020-02-21,284,66,218
2020-02-22,298,63,235
2020-02-23,380,85,295
2020-02-24,380,80,300
2020-02-25,420,85,335
2020-02-26,486,91,395
2020-02-27,411,85,326
2020-02-28,386,91,295
2020-02-29,384,74,310
2020-03-01,326,70,256
2020-03-02,321,80,241
2020-03-03,292,87,205
2020-03-04,279,83,196
2020-03-05,250,72,178
2020-03-06,236,66,170
2020-03-07,225,74,151
2020-03-08,209,64,145
2020-03-09,207,82,125
2020-03-10,206,72,134
2020-03-11,214,63,151
2020-03-12,210,66,144
2020-03-13,221,70,151
2020-03-14,204,63,141
2020-03-15,214,70,144
2020-03-16,199,80,119
2020-03-17,206,70,136
2020-03-18,189,74,115
2020-03-19,174,64,110
2020-03-20,183,61,122
2020-03-21,165,63,102
2020-03-22,170,57,113
2020-03-23,160,61,99
2020-03-24,158,61,97
2020-03-25,180,74,106
2020-03-26,156,59,97
2020-03-27,161,61,100
2020-03-28,184,59,125
2020-03-29,171,63,108
2020-03-30,153,57,96
2020-03-31,187,61,126
2020-04-01,180,74,106
