日期,全部,pc,移动
2019-12-01,60,,60
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,60,,60
2019-12-06,,,
2019-12-07,66,,66
2019-12-08,,,
2019-12-09,122,57,65
2019-12-10,61,,61
2019-12-11,58,,58
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,65,,65
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,58,,58
2019-12-19,57,,57
2019-12-20,61,,61
2019-12-21,58,,58
2019-12-22,60,,60
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,57,,57
2019-12-26,60,,60
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,57,,57
2019-12-31,58,,58
2020-01-01,57,,57
2020-01-02,57,57,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,114,57,57
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,114,57,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,,,
2020-01-20,124,57,67
2020-01-21,219,72,147
2020-01-22,371,83,288
2020-01-23,668,114,554
2020-01-24,393,87,306
2020-01-25,536,93,443
2020-01-26,556,95,461
2020-01-27,408,106,302
2020-01-28,343,87,256
2020-01-29,315,91,224
2020-01-30,318,80,238
2020-01-31,315,83,232
2020-02-01,311,80,231
2020-02-02,295,78,217
2020-02-03,317,93,224
2020-02-04,316,104,212
2020-02-05,280,78,202
2020-02-06,334,95,239
2020-02-07,292,87,205
2020-02-08,336,102,234
2020-02-09,260,70,190
2020-02-10,253,66,187
2020-02-11,291,91,200
2020-02-12,279,80,199
2020-02-13,287,78,209
2020-02-14,328,89,239
2020-02-15,321,93,228
2020-02-16,258,82,176
2020-02-17,274,74,200
2020-02-18,250,74,176
2020-02-19,264,78,186
2020-02-20,252,85,167
2020-02-21,280,78,202
2020-02-22,295,76,219
2020-02-23,372,72,300
2020-02-24,442,95,347
2020-02-25,450,89,361
2020-02-26,456,97,359
2020-02-27,394,80,314
2020-02-28,382,104,278
2020-02-29,362,64,298
2020-03-01,309,82,227
2020-03-02,260,70,190
2020-03-03,255,76,179
2020-03-04,247,74,173
2020-03-05,274,82,192
2020-03-06,263,87,176
2020-03-07,213,68,145
2020-03-08,208,63,145
2020-03-09,235,80,155
2020-03-10,200,72,128
2020-03-11,211,76,135
2020-03-12,192,64,128
2020-03-13,209,68,141
2020-03-14,196,68,128
2020-03-15,195,63,132
2020-03-16,188,70,118
2020-03-17,184,72,112
2020-03-18,206,83,123
2020-03-19,173,64,109
2020-03-20,172,68,104
2020-03-21,167,57,110
2020-03-22,180,57,123
2020-03-23,188,76,112
2020-03-24,173,68,105
2020-03-25,109,,109
2020-03-26,189,61,128
2020-03-27,172,64,108
2020-03-28,200,57,143
2020-03-29,198,63,135
2020-03-30,235,80,155
2020-03-31,210,72,138
2020-04-01,210,59,151
