日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,115,57,58
2019-12-08,58,,58
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,59,59,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,58,,58
2019-12-23,57,57,
2019-12-24,,,
2019-12-25,118,57,61
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,57,57,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,122,59,63
2020-01-21,189,68,121
2020-01-22,288,76,212
2020-01-23,436,116,320
2020-01-24,287,85,202
2020-01-25,400,85,315
2020-01-26,332,80,252
2020-01-27,303,82,221
2020-01-28,256,66,190
2020-01-29,247,80,167
2020-01-30,246,72,174
2020-01-31,258,80,178
2020-02-01,258,85,173
2020-02-02,239,63,176
2020-02-03,234,76,158
2020-02-04,234,89,145
2020-02-05,233,78,155
2020-02-06,221,66,155
2020-02-07,246,89,157
2020-02-08,232,80,152
2020-02-09,219,70,149
2020-02-10,237,78,159
2020-02-11,230,76,154
2020-02-12,201,78,123
2020-02-13,203,72,131
2020-02-14,198,59,139
2020-02-15,198,66,132
2020-02-16,204,68,136
2020-02-17,212,80,132
2020-02-18,185,64,121
2020-02-19,196,70,126
2020-02-20,177,64,113
2020-02-21,191,76,115
2020-02-22,206,59,147
2020-02-23,231,70,161
2020-02-24,241,70,171
2020-02-25,277,72,205
2020-02-26,299,68,231
2020-02-27,328,85,243
2020-02-28,268,70,198
2020-02-29,267,74,193
2020-03-01,226,63,163
2020-03-02,233,82,151
2020-03-03,197,61,136
2020-03-04,193,74,119
2020-03-05,202,70,132
2020-03-06,185,70,115
2020-03-07,167,63,104
2020-03-08,166,61,105
2020-03-09,161,64,97
2020-03-10,166,64,102
2020-03-11,165,63,102
2020-03-12,148,64,84
2020-03-13,161,64,97
2020-03-14,139,59,80
2020-03-15,139,59,80
2020-03-16,133,63,70
2020-03-17,146,64,82
2020-03-18,148,64,84
2020-03-19,145,63,82
2020-03-20,132,61,71
2020-03-21,143,57,86
2020-03-22,92,,92
2020-03-23,133,59,74
2020-03-24,127,57,70
2020-03-25,137,66,71
2020-03-26,137,57,80
2020-03-27,96,,96
2020-03-28,146,57,89
2020-03-29,89,,89
2020-03-30,73,,73
2020-03-31,130,61,69
2020-04-01,141,61,80
