日期,全部,pc,移动
2019-12-01,63,,63
2019-12-02,125,59,66
2019-12-03,61,,61
2019-12-04,65,,65
2019-12-05,129,59,70
2019-12-06,60,,60
2019-12-07,118,57,61
2019-12-08,66,,66
2019-12-09,65,,65
2019-12-10,69,,69
2019-12-11,63,,63
2019-12-12,61,,61
2019-12-13,57,,57
2019-12-14,69,,69
2019-12-15,66,,66
2019-12-16,58,,58
2019-12-17,58,,58
2019-12-18,66,,66
2019-12-19,58,,58
2019-12-20,58,,58
2019-12-21,61,,61
2019-12-22,67,,67
2019-12-23,120,59,61
2019-12-24,67,,67
2019-12-25,128,59,69
2019-12-26,120,59,61
2019-12-27,60,,60
2019-12-28,120,57,63
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,58,,58
2020-01-01,61,,61
2020-01-02,60,,60
2020-01-03,,,
2020-01-04,60,,60
2020-01-05,57,,57
2020-01-06,63,,63
2020-01-07,58,,58
2020-01-08,,,
2020-01-09,,,
2020-01-10,58,,58
2020-01-11,59,59,
2020-01-12,58,,58
2020-01-13,,,
2020-01-14,57,57,
2020-01-15,59,59,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,58,,58
2020-01-20,143,63,80
2020-01-21,438,87,351
2020-01-22,983,133,850
2020-01-23,1083,154,929
2020-01-24,926,114,812
2020-01-25,988,101,887
2020-01-26,955,114,841
2020-01-27,676,102,574
2020-01-28,630,101,529
2020-01-29,542,102,440
2020-01-30,586,95,491
2020-01-31,530,83,447
2020-02-01,526,97,429
2020-02-02,553,95,458
2020-02-03,519,83,436
2020-02-04,492,91,401
2020-02-05,482,91,391
2020-02-06,473,120,353
2020-02-07,545,123,422
2020-02-08,489,112,377
2020-02-09,473,106,367
2020-02-10,468,99,369
2020-02-11,434,89,345
2020-02-12,454,108,346
2020-02-13,450,91,359
2020-02-14,475,85,390
2020-02-15,434,80,354
2020-02-16,414,74,340
2020-02-17,372,80,292
2020-02-18,403,76,327
2020-02-19,380,82,298
2020-02-20,377,78,299
2020-02-21,367,78,289
2020-02-22,380,74,306
2020-02-23,477,83,394
2020-02-24,509,95,414
2020-02-25,542,95,447
2020-02-26,587,91,496
2020-02-27,529,76,453
2020-02-28,534,108,426
2020-02-29,519,89,430
2020-03-01,445,91,354
2020-03-02,464,108,356
2020-03-03,370,83,287
2020-03-04,378,80,298
2020-03-05,327,72,255
2020-03-06,375,95,280
2020-03-07,320,89,231
2020-03-08,278,70,208
2020-03-09,328,110,218
2020-03-10,296,85,211
2020-03-11,288,68,220
2020-03-12,312,83,229
2020-03-13,265,72,193
2020-03-14,298,83,215
2020-03-15,254,70,184
2020-03-16,261,78,183
2020-03-17,282,82,200
2020-03-18,269,82,187
2020-03-19,273,87,186
2020-03-20,282,83,199
2020-03-21,246,78,168
2020-03-22,232,59,173
2020-03-23,261,97,164
2020-03-24,229,66,163
2020-03-25,225,70,155
2020-03-26,231,68,163
2020-03-27,256,76,180
2020-03-28,233,63,170
2020-03-29,246,66,180
2020-03-30,255,72,183
2020-03-31,242,68,174
2020-04-01,289,87,202
