日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,,,
2019-12-03,,,
2019-12-04,58,,58
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,60,,60
2019-12-10,61,,61
2019-12-11,117,57,60
2019-12-12,60,,60
2019-12-13,60,,60
2019-12-14,57,,57
2019-12-15,57,,57
2019-12-16,58,,58
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,60,,60
2019-12-21,58,,58
2019-12-22,,,
2019-12-23,60,,60
2019-12-24,124,61,63
2019-12-25,117,57,60
2019-12-26,57,,57
2019-12-27,58,,58
2019-12-28,58,,58
2019-12-29,65,,65
2019-12-30,57,,57
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,58,,58
2020-01-09,60,,60
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,117,57,60
2020-01-16,,,
2020-01-17,57,57,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,136,63,73
2020-01-21,313,101,212
2020-01-22,684,133,551
2020-01-23,903,168,735
2020-01-24,709,125,584
2020-01-25,675,133,542
2020-01-26,758,127,631
2020-01-27,598,123,475
2020-01-28,548,139,409
2020-01-29,468,108,360
2020-01-30,433,110,323
2020-01-31,483,121,362
2020-02-01,471,118,353
2020-02-02,479,152,327
2020-02-03,440,127,313
2020-02-04,431,114,317
2020-02-05,459,140,319
2020-02-06,442,129,313
2020-02-07,435,120,315
2020-02-08,410,114,296
2020-02-09,375,97,278
2020-02-10,397,123,274
2020-02-11,367,104,263
2020-02-12,318,91,227
2020-02-13,355,101,254
2020-02-14,349,95,254
2020-02-15,325,101,224
2020-02-16,304,82,222
2020-02-17,297,83,214
2020-02-18,278,89,189
2020-02-19,326,102,224
2020-02-20,311,91,220
2020-02-21,288,87,201
2020-02-22,360,97,263
2020-02-23,390,85,305
2020-02-24,423,93,330
2020-02-25,512,114,398
2020-02-26,578,127,451
2020-02-27,581,144,437
2020-02-28,491,131,360
2020-02-29,416,99,317
2020-03-01,342,74,268
2020-03-02,361,108,253
2020-03-03,300,82,218
2020-03-04,290,91,199
2020-03-05,300,102,198
2020-03-06,287,85,202
2020-03-07,275,91,184
2020-03-08,261,82,179
2020-03-09,273,106,167
2020-03-10,248,87,161
2020-03-11,235,83,152
2020-03-12,234,85,149
2020-03-13,251,91,160
2020-03-14,239,82,157
2020-03-15,229,74,155
2020-03-16,225,78,147
2020-03-17,226,85,141
2020-03-18,234,85,149
2020-03-19,209,68,141
2020-03-20,191,82,109
2020-03-21,199,76,123
2020-03-22,167,57,110
2020-03-23,172,66,106
2020-03-24,183,66,117
2020-03-25,178,74,104
2020-03-26,192,83,109
2020-03-27,170,70,100
2020-03-28,169,59,110
2020-03-29,171,61,110
2020-03-30,191,70,121
2020-03-31,177,82,95
2020-04-01,180,68,112
