日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,61,,61
2019-12-04,114,57,57
2019-12-05,57,57,
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,60,,60
2019-12-09,120,57,63
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,58,,58
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,57,57,
2019-12-28,,,
2019-12-29,57,57,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,58,,58
2020-01-06,58,,58
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,57,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,,,
2020-01-20,61,,61
2020-01-21,167,63,104
2020-01-22,322,83,239
2020-01-23,340,91,249
2020-01-24,259,72,187
2020-01-25,352,82,270
2020-01-26,363,95,268
2020-01-27,286,72,214
2020-01-28,254,72,182
2020-01-29,244,76,168
2020-01-30,243,76,167
2020-01-31,239,76,163
2020-02-01,247,83,164
2020-02-02,224,64,160
2020-02-03,242,72,170
2020-02-04,234,82,152
2020-02-05,242,80,162
2020-02-06,217,68,149
2020-02-07,235,68,167
2020-02-08,215,68,147
2020-02-09,238,64,174
2020-02-10,229,70,159
2020-02-11,207,66,141
2020-02-12,232,66,166
2020-02-13,208,76,132
2020-02-14,221,66,155
2020-02-15,207,59,148
2020-02-16,187,59,128
2020-02-17,192,66,126
2020-02-18,185,64,121
2020-02-19,203,64,139
2020-02-20,211,76,135
2020-02-21,200,74,126
2020-02-22,203,64,139
2020-02-23,261,72,189
2020-02-24,292,80,212
2020-02-25,283,63,220
2020-02-26,333,80,253
2020-02-27,328,83,245
2020-02-28,311,72,239
2020-02-29,265,68,197
2020-03-01,235,61,174
2020-03-02,233,78,155
2020-03-03,186,63,123
2020-03-04,186,61,125
2020-03-05,196,61,135
2020-03-06,188,63,125
2020-03-07,153,61,92
2020-03-08,119,,119
2020-03-09,155,59,96
2020-03-10,174,70,104
2020-03-11,159,59,100
2020-03-12,168,63,105
2020-03-13,165,61,104
2020-03-14,160,63,97
2020-03-15,156,59,97
2020-03-16,165,61,104
2020-03-17,152,61,91
2020-03-18,149,57,92
2020-03-19,137,59,78
2020-03-20,148,59,89
2020-03-21,126,57,69
2020-03-22,78,,78
2020-03-23,136,63,73
2020-03-24,80,,80
2020-03-25,92,,92
2020-03-26,84,,84
2020-03-27,93,,93
2020-03-28,139,59,80
2020-03-29,136,57,79
2020-03-30,135,59,76
2020-03-31,137,64,73
2020-04-01,151,59,92
