日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,57,,57
2019-12-05,57,,57
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,58,,58
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,58,,58
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,58,,58
2019-12-25,,,
2019-12-26,60,,60
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,57,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,118,57,61
2020-01-21,189,66,123
2020-01-22,282,87,195
2020-01-23,438,121,317
2020-01-24,305,85,220
2020-01-25,350,93,257
2020-01-26,303,78,225
2020-01-27,290,87,203
2020-01-28,252,78,174
2020-01-29,235,72,163
2020-01-30,245,68,177
2020-01-31,215,64,151
2020-02-01,253,83,170
2020-02-02,235,68,167
2020-02-03,258,91,167
2020-02-04,217,76,141
2020-02-05,235,78,157
2020-02-06,230,76,154
2020-02-07,230,82,148
2020-02-08,230,70,160
2020-02-09,229,78,151
2020-02-10,215,72,143
2020-02-11,228,85,143
2020-02-12,206,83,123
2020-02-13,199,63,136
2020-02-14,193,70,123
2020-02-15,194,64,130
2020-02-16,175,66,109
2020-02-17,202,64,138
2020-02-18,179,70,109
2020-02-19,215,80,135
2020-02-20,207,72,135
2020-02-21,229,74,155
2020-02-22,189,70,119
2020-02-23,259,85,174
2020-02-24,249,64,185
2020-02-25,282,76,206
2020-02-26,280,93,187
2020-02-27,260,74,186
2020-02-28,219,68,151
2020-02-29,211,72,139
2020-03-01,210,63,147
2020-03-02,207,82,125
2020-03-03,211,70,141
2020-03-04,198,72,126
2020-03-05,201,70,131
2020-03-06,146,57,89
2020-03-07,163,63,100
2020-03-08,201,63,138
2020-03-09,164,68,96
2020-03-10,155,63,92
2020-03-11,156,59,97
2020-03-12,147,61,86
2020-03-13,165,74,91
2020-03-14,142,63,79
2020-03-15,150,61,89
2020-03-16,165,63,102
2020-03-17,164,68,96
2020-03-18,159,76,83
2020-03-19,139,61,78
2020-03-20,150,61,89
2020-03-21,128,57,71
2020-03-22,76,,76
2020-03-23,133,66,67
2020-03-24,132,61,71
2020-03-25,139,63,76
2020-03-26,127,57,70
2020-03-27,127,61,66
2020-03-28,144,61,83
2020-03-29,137,57,80
2020-03-30,141,61,80
2020-03-31,136,57,79
2020-04-01,144,61,83
