日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,60,,60
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,58,,58
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,57,
2019-12-19,,,
2019-12-20,,,
2019-12-21,60,,60
2019-12-22,58,,58
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,61,,61
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,58,,58
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,58,,58
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,122,59,63
2020-01-21,210,59,151
2020-01-22,354,87,267
2020-01-23,474,97,377
2020-01-24,313,64,249
2020-01-25,430,78,352
2020-01-26,413,87,326
2020-01-27,323,85,238
2020-01-28,295,83,212
2020-01-29,250,70,180
2020-01-30,269,76,193
2020-01-31,303,97,206
2020-02-01,296,91,205
2020-02-02,281,80,201
2020-02-03,287,83,204
2020-02-04,249,78,171
2020-02-05,261,72,189
2020-02-06,233,89,144
2020-02-07,242,68,174
2020-02-08,251,83,168
2020-02-09,238,74,164
2020-02-10,223,63,160
2020-02-11,224,66,158
2020-02-12,219,70,149
2020-02-13,233,68,165
2020-02-14,229,64,165
2020-02-15,229,70,159
2020-02-16,225,63,162
2020-02-17,192,66,126
2020-02-18,212,76,136
2020-02-19,249,83,166
2020-02-20,205,66,139
2020-02-21,238,76,162
2020-02-22,245,68,177
2020-02-23,298,74,224
2020-02-24,312,74,238
2020-02-25,366,82,284
2020-02-26,365,80,285
2020-02-27,330,78,252
2020-02-28,326,95,231
2020-02-29,304,57,247
2020-03-01,247,76,171
2020-03-02,257,76,181
2020-03-03,234,64,170
2020-03-04,238,72,166
2020-03-05,232,78,154
2020-03-06,213,66,147
2020-03-07,193,63,130
2020-03-08,184,63,121
2020-03-09,182,64,118
2020-03-10,204,72,132
2020-03-11,183,57,126
2020-03-12,172,57,115
2020-03-13,176,59,117
2020-03-14,169,61,108
2020-03-15,166,66,100
2020-03-16,155,59,96
2020-03-17,162,66,96
2020-03-18,156,59,97
2020-03-19,165,70,95
2020-03-20,153,57,96
2020-03-21,151,59,92
2020-03-22,150,57,93
2020-03-23,144,57,87
2020-03-24,149,57,92
2020-03-25,146,59,87
2020-03-26,74,,74
2020-03-27,161,64,97
2020-03-28,82,,82
2020-03-29,151,59,92
2020-03-30,156,63,93
2020-03-31,137,57,80
2020-04-01,148,57,91
