日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,57,57,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,57,57,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,59,59,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,57,57,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,58,,58
2019-12-31,,,
2020-01-01,58,,58
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,58,,58
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,127,57,70
2020-01-21,246,76,170
2020-01-22,349,97,252
2020-01-23,452,131,321
2020-01-24,320,82,238
2020-01-25,361,101,260
2020-01-26,427,106,321
2020-01-27,346,108,238
2020-01-28,331,110,221
2020-01-29,303,95,208
2020-01-30,290,97,193
2020-01-31,313,101,212
2020-02-01,283,101,182
2020-02-02,277,101,176
2020-02-03,246,89,157
2020-02-04,263,95,168
2020-02-05,230,95,135
2020-02-06,247,89,158
2020-02-07,249,95,154
2020-02-08,226,85,141
2020-02-09,214,78,136
2020-02-10,242,85,157
2020-02-11,234,89,145
2020-02-12,219,76,143
2020-02-13,209,68,141
2020-02-14,221,61,160
2020-02-15,212,74,138
2020-02-16,214,83,131
2020-02-17,213,78,135
2020-02-18,196,78,118
2020-02-19,263,93,170
2020-02-20,242,91,151
2020-02-21,269,95,174
2020-02-22,227,76,151
2020-02-23,196,61,135
2020-02-24,259,110,149
2020-02-25,223,85,138
2020-02-26,211,72,139
2020-02-27,217,74,143
2020-02-28,243,80,163
2020-02-29,223,80,143
2020-03-01,216,80,136
2020-03-02,211,101,110
2020-03-03,195,64,131
2020-03-04,239,78,161
2020-03-05,189,72,117
2020-03-06,186,78,108
2020-03-07,186,68,118
2020-03-08,182,63,119
2020-03-09,182,87,95
2020-03-10,185,83,102
2020-03-11,191,95,96
2020-03-12,154,61,93
2020-03-13,151,78,73
2020-03-14,149,63,86
2020-03-15,150,61,89
2020-03-16,138,64,74
2020-03-17,153,66,87
2020-03-18,166,82,84
2020-03-19,152,68,84
2020-03-20,154,76,78
2020-03-21,87,,87
2020-03-22,76,,76
2020-03-23,140,57,83
2020-03-24,126,59,67
2020-03-25,135,61,74
2020-03-26,135,64,71
2020-03-27,156,74,82
2020-03-28,135,59,76
2020-03-29,128,57,71
2020-03-30,140,61,79
2020-03-31,141,63,78
2020-04-01,139,61,78
